key,0,1,2,3,4,5,6,7,8,9,10
#,Number,,Link,Quest,,Icon,Image,Rarity,NameJP,Name,Description
offset,28,29,30,12,16,20,24,31,8,0,4
Int32,UInt8,UInt8,UInt8,Int32,Int32,Int32,Int32,UInt8,String,String,String
0,0,0,0,0,0,0,0,0,"","",""
1,1,0,0,69478,0,72556,72501,1,"バイシャーエン・ウルガッシュ","Bajsaljen Ulgasch","Race<hex:021D0103>: Hrothgar<hex:02100103>Âge<hex:021D0103>: 54 ans<hex:02100103>Lieu de naissance<hex:021D0103>: citadelle de Bozja<hex:02100103><hex:02100103>Bajsaljen, aujourd'hui meneur de la résistance, a grandi en pays conquis.<hex:02100103><hex:02100103>Une fois ses études de médecine terminées, il est mobilisé par Garlemald pour servir sur le terrain. Ses nombreux faits d'armes lui valent de gagner son titre de citoyenneté, grâce auquel il se marie et fonde une famille. Peu avant la destruction de la citadelle de Bozja, il est envoyé mater une rébellion dans les provinces, ce qui lui permet d'échapper à la catastrophe. Cette tragédie le prive toutefois de son foyer, de sa femme et de ses enfants. Peu après, il tourne le dos à l'Empire et déserte pour de bon la légion, accompagné d'une poignée de fidèles compagnons d'armes. Son groupe organise par la suite quelques actes séditieux, avant d'être contacté par des résistants qui leur proposent de les rejoindre.<hex:02100103><hex:02100103>Lorsqu'il était encore soldat de l'Empire, Bajsaljen n'était pas mécontent de sa situation, mais cela changea du tout au tout après la perte de sa famille. Dès lors, il voua une haine sans borne à Garlemald, plus féroce encore que celle de ses camarades résistants. Seul son attachement à la raison et à la sagesse lui a permis de réfréner sa rancœur pendant toutes ces années. Mieux que quiconque, il sait que la haine n'engendre que la haine.<hex:02100103><hex:02100103>Aujourd'hui, il se bat pour bouter la 4e légion hors des terres bozjiennes avec comme principal atout les nouvelles lames de Gunnhildr, des soldats équipés de reproductions d'armes légendaires à l'immense pouvoir."
2,2,0,0,69478,0,72557,72502,1,"マルシャーク・アペッラ","Marsak Apella","Race<hex:021D0103>: Hrothgar<hex:02100103>Âge<hex:021D0103>: 42 ans<hex:02100103>Lieu de naissance<hex:021D0103>: citadelle de Bozja (province impériale)<hex:02100103><hex:02100103>Marsak a perdu ses parents et ses frères lors de la catastrophe de la citadelle de Bozja. Il a peu après rejoint la résistance et sert aujourd'hui de bras droit à Bajsaljen, le chef qu'il admire.<hex:02100103>En tant que numéro deux, Marsak s'occupe à la fois du recrutement, de la trésorerie et du ra<hex:02160103>vi<hex:02160103>tail<hex:02160103>le<hex:02160103>ment. Ses talents de négociateur et sa personnalité avenante lui ont valu d'endosser aussi le rôle d'intermédiaire entre la résistance et ses alliés étrangers, comme ce fut le cas récemment avec Doma et la Firme du commerce de l'Aldenard oriental.<hex:02100103><hex:02100103>Bien qu'il éprouve un sentiment de rancœur pour l'Empire, Marsak met un point d'honneur à ne pas blâmer tous les Garlemaldais pour un crime commis par leur gouvernement. Une bienveillance que certains pourraient qualifier d'excessive, mais qui a au moins le mérite de mettre de l'huile dans les rouages.<hex:02100103>Malgré son rôle de gestion au sein de la résistance, c'est aussi un combattant hors pair qui a été formé par le légendaire pistosabreur Rostik.<hex:02100103><hex:02100103>Un homme fait de tendresse et sur qui l'on peut compter en toute circonstance, voilà ce qui définit Marsak Apella."
3,3,0,0,69478,0,72558,72503,1,"ゼヴェン・スヴァナシュ","Xeven Svanasch","Race<hex:021D0103>: Hrothgar<hex:02100103>Âge<hex:021D0103>: 47 ans<hex:02100103>Lieu de naissance<hex:021D0103>: inconnu<hex:02100103><hex:02100103>Si le lieu de naissance exact de Xeven Svanasch demeure un mystère, on suppose que ce membre des nouvelles lames de Gunnhildr est originaire de la citadelle de Bozja. D'après les rares détails de son passé qu'il a partagés, son périple vers la maîtrise de la magie l'aurait mené à travers de nombreuses régions<hex:021D0103>: Thavnair au sud, Hingashi à l'est, et même la capitale impériale de Garlemald au nord.<hex:02100103><hex:02100103>Sa passion pour les disciplines arcaniques lui naît pendant un voyage en Éorzéa, lorsqu'il se rend avec son père à Gridania dans l'espoir de trouver un remède au mal mystérieux qui affecte sa mère. Mal<hex:02160103>heu<hex:02160103>reu<hex:02160103>se<hex:02160103>ment, leurs efforts sont vains et ils ne parviennent pas à empêcher l'inéluctable. Une seule chose est sûre pour le jeune Xeven<hex:021D0103>: c'est l'occupation de Bozja qui est à l'origine de la maladie de sa mère, et il n'en faut pas plus pour que son chagrin se mue en une haine irrépressible pour l'Empire.<hex:02100103>Fasciné par les divers types de magie qu'il découvre au fil de ses voyages, il s'applique à ramener ce savoir avec lui à la citadelle. Il étudie mi<hex:02160103>nu<hex:02160103>tieu<hex:02160103>se<hex:02160103>ment chaque sort dans le but de les utiliser un jour contre l'envahisseur impérial.<hex:02100103><hex:02100103>Même lorsque ses recherches aboutissent à la création de sa propre discipline de magie, Xeven s'interdit de partager son savoir avec qui que ce soit. Il craint en effet que les sorts destructeurs qu'il a mis au point provoquent un désastre s'ils sont mis entre de mauvaises mains.<hex:02100103>Alors au sommet de son art, il est un mage sans pareil sur le champ de bataille, inspirant un sentiment mêlé d'admiration et de terreur chez les soldats qui le considèrent comme un héros de guerre.<hex:02100103>Xeven n'a pas peur de la mort au combat, au contraire. Il semble l'inviter, l'attendre, même. Ce fatalisme lui vient d'une prophétie le concernant, entendue de la bouche d'un mystérieux mage au détour du grand labyrinthe de Dalmasca. Même si le langage de l'homme lui est inconnu, Xeven devine le sens de ses mots<hex:021D0103>: son heure viendra lorsque les flammes de la révolution consumeront Bozja.<hex:02100103><hex:02100103>Alors que la bataille fait rage sur le front sud, le Hrothgar est convaincu que c'est là que sa tombe sera creusée. Il ne cherchera pas à esquiver son destin, mais plutôt à jeter toutes ses forces dans l'af<hex:02160103>fron<hex:02160103>te<hex:02160103>ment pour mener les nouvelles lames de Gunnhildr à la victoire. Non, même si chaque seconde qui passe, la prophétie est plus proche de se réaliser, Xeven Svanasch ne craint pas la mort."
4,4,0,0,69478,0,72559,72504,2,"イソルデ・コヴィー","Isolde Covey","Race<hex:021D0103>: Hyure<hex:02100103>Âge<hex:021D0103>: 26 ans<hex:02100103>Lieu de naissance<hex:021D0103>: Lea Monde, Dalmasca<hex:02100103><hex:02100103>Les parents d'Isolde Covey fuient Bozja sous la menace de la guerre pour aller s'installer à Dalmasca, mais leur répit n'est que de courte durée puisque leur nouveau foyer ne tarde pas à rejoindre le nombre grandissant des provinces annexées. Lorsque l'Empire leur propose de regagner la citadelle en compagnie des autres réfugiés bozjiens, les Covey préfèrent élire domicile à Lea Monde.<hex:02100103>C'est là qu'Isolde voit le jour et reçoit une éducation conforme à la doctrine garlemaldaise, même si elle n'a d'yeux que pour la musique et la danse de tradition bozjienne. Son cœur chavire pour le rythme frénétique et l'amplitude de ces mélodies ca<hex:02160103>rac<hex:02160103>té<hex:02160103>ris<hex:02160103>ti<hex:02160103>ques, et elle se passionne pour les paroles racontant la vie de gens simples et leur lien avec la nature, avec un penchant tout particulier pour les histoires d'amour. Quant aux danseurs, c'est l'émotion qui transpire de leur voix et l'intensité qu'ils mettent dans leurs pas exubérants qui l'impressionnent.<hex:02100103><hex:02100103>C'est donc tout na<hex:02160103>tu<hex:02160103>rel<hex:02160103>le<hex:02160103>ment que la jeune Isolde se destine à une carrière dans la discipline, et on voit bien vite en elle un talent très prometteur. Pour devenir une danseuse à part entière, elle doit cependant apprendre à utiliser l'arc, qui sert d'instrument dans la tradition bozjienne. On frotte par exemple les cordes de deux arcs pour créer des notes de musique, ou l'on y tape ses doigts afin d'imprimer le rythme d'une chanson. Par respect pour leurs ancêtres, qui étaient des chasseurs nomades, il est de coutume pour les danseurs de Bozja de maîtriser l'arme par<hex:02160103>fai<hex:02160103>te<hex:02160103>ment.<hex:02100103><hex:02100103>Ainsi, lorsqu'Isolde rejoint la résistance, elle est déjà une archère accomplie, et sa main ferme ainsi que son œil vif lui valent très vite une place parmi les nouvelles lames de Gunnhildr. Cependant, dans le quotidien de violence incessante qui est le sien, elle n'oublie pas son amour pour la vie des gens simples et leur lien avec la nature, et elle prie chaque jour pour que revienne l'harmonie du passé. Comme Isolde aime à le dire<hex:021D0103>: “Puisse la paix être bientôt retrouvée, pour les Bozjiens comme pour les Garlemaldais.”"
5,5,0,0,69478,0,72560,72505,1,"スタニック・アルボフ","Stanik Alubov","Race<hex:021D0103>: Hrothgar<hex:02100103>Âge<hex:021D0103>: 36 ans<hex:02100103>Lieu de naissance<hex:021D0103>: citadelle de Bozja (province impériale)<hex:02100103><hex:02100103>Bien avant de rejoindre les nouvelles lames de Gunnhildr, Stanik Alubov a toujours rêvé de devenir un héros.<hex:02100103><hex:02100103>Pour la grande majorité des Bozjiens, la vie sous l'occupation impériale est une lutte quotidienne contre la pauvreté, et les parents du jeune Stanik ne font pas exception. Si les affaires sont mauvaises à la petite droguerie qu'ils tiennent, il n'y a rien à manger le soir venu. Leurs finances sont insuffisantes pour inscrire leur fils à l'école, une situation tout sauf ex<hex:02160103>cep<hex:02160103>tion<hex:02160103>nelle dans la citadelle. Stanik, lui, fait de son mieux pour gagner un peu d'argent, en gardant les enfants du voisinage ou en cirant les souliers des passants. Mais, aussi difficile la situation soit-elle, jamais il ne se laisse aller à quelque vol ou autre acte malhonnête. Comme ses parents lui ont toujours dit<hex:021D0103>: “La pauvreté n'est pas une excuse pour ignorer la moralité.”<hex:02100103><hex:02100103>C'est à l'âge de quinze ans que Stanik se présente au bureau de conscription de l'armée impériale, qu'il rejoint en qualité de soldat. S'il fait ce choix, c'est moins pour ses rêves de gloire que pour alléger le fardeau de ses parents, qui auront ainsi une bouche de moins à nourrir.<hex:02100103><hex:02100103>Stanik ne manque pas d'envoyer la majeure partie de sa maigre solde à la maison familiale, et même si ce n'est qu'une bouchée de pain, cela lui permet parfois de se sentir comme le héros qu'il a toujours souhaité devenir. Les lettres qu'il reçoit en retour sont sa seule source de réconfort, car elles lui prouvent que ses parents sont toujours en vie.<hex:02100103><hex:02100103>C'est lorsqu'il est en mission dans une région reculée que Stanik apprend pour la catastrophe de Bozja. Quand un message de ses parents lui parvient cinq jours plus tard, il pousse un grand soupir de soulagement... jusqu'à ce qu'il réalise quand il a été écrit. La veille de la disparition de la citadelle..."
6,6,0,0,69478,0,72561,72506,3,"ブラズ・アゼティナ","Blaz Azetina","Race<hex:021D0103>: Hrothgar<hex:02100103>Âge<hex:021D0103>: 25 ans<hex:02100103>Lieu de naissance<hex:021D0103>: Doma<hex:02100103><hex:02100103>Samouraï de son état, Blaz Azetina est un descendant direct des fondateurs de la Voie verdoyante, une illustre école d'arts martiaux reconnue pour son efficacité dans le combat à mains nues, le maniement de l'épée et les techniques de lance.<hex:02100103><hex:02100103>Traditionnellement, la Voie verdoyante a toujours interdit à ses disciples de prendre part à tout soulèvement, fidèle à son principe selon lequel la pratique des arts martiaux constitue un chemin vers l'illumination de l'âme et non un moyen de se battre. Cependant, lorsque la rébellion éclate à Bozja, la haine de certains élèves pour l'Empire est trop forte pour leur respect de ce précepte. Ceux qui choisissent de rejoindre la Résistance sont ainsi exclus, et la Voie verdoyante évite un conflit avec les forces impériales.<hex:02100103><hex:02100103>Le père de Blaz, cadet de la famille fondatrice de l'école, choisit lui aussi d'aller à l'encontre de la philosophie de cette dernière pour prêter sa lame à la cause bozjienne. Lorsque la rébellion est matée, il part trouver refuge à Doma, où il finit par se marier et avoir un fils. Blaz hérite de la passion de son père pour les arts martiaux et rejoint une prestigieuse école de samouraïs, où il apprend la maîtrise du katana. Quelques années plus tard, lorsque Hien revient d'exil pour mener la révolution de sa province, le fougueux Hrothgar saisit l'occasion de rembourser la dette de sa famille à Doma. Une fois la libération arrachée, et alors qu'il s'apprête à suivre sa propre route, Blaz a vent de rumeurs d'une coalition orientale et d'un nouveau soulèvement à Bozja. Il comprend alors que son destin doit le mener jusqu'à la terre natale de son père.<hex:02100103><hex:02100103>À cette époque, la Voie verdoyante traverse sa propre période de renouveau, et son maître fraîchement nommé est un ardent défenseur de la restauration des traditions bozjiennes. Blaz est accueilli à bras ouverts, et on lui propose même un poste pour enseigner la voie du samouraï. Il refuse cependant cet honneur pour reprendre le flambeau de son défunt père et rejoindre les rangs de la résistance ainsi que des nouvelles lames de Gunnhildr, prêtant serment pour la recon<hex:02160103>struc<hex:02160103>tion de la nation bozjienne."
