key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,PlaceName,HousingSize,ExteriorRoof,ExteriorWall,ExteriorWindow,ExteriorDoor,InteriorWall,InteriorFlooring,InteriorLighting,OtherFloorWall,OtherFloorFlooring,OtherFloorLighting,BasementWall,BasementFlooring,BasementLighting,MansionLighting
offset,0,8,4,9,10,11,12,13,72,74,16,20,24,28,32,36,40,44,48,52,56,60,64,68
Int32,String,Int8,String,Int8,Int8,Int8,Int8,Int8,UInt16,UInt8,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32
262144,"",0,"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262145,"maisonnette en bois noscéenne",0,"maisonnettes en bois noscéennes",0,0,1,1,0,22,0,6347,6374,6401,6410,6455,6458,6461,0,0,0,6455,6458,6461,0
262146,"maisonnette composite noscéenne",0,"maisonnettes composites noscéennes",0,0,1,1,0,22,0,6348,6375,6402,6411,6455,6458,6461,0,0,0,6455,6458,6461,0
262147,"maisonnette en pierre noscéenne",0,"maisonnettes en pierre noscéennes",0,0,1,1,0,22,0,6349,6376,6403,6412,6455,6458,6461,0,0,0,6455,6458,6461,0
262148,"pavillon en bois noscéen",0,"pavillons en bois noscéens",0,0,1,0,0,22,1,6350,6377,6401,6410,6455,6458,6462,6455,6458,6462,6455,6458,6462,0
262149,"pavillon composite noscéen",0,"pavillons composites noscéens",0,0,1,0,0,22,1,6351,6378,6402,6411,6455,6458,6462,6455,6458,6462,6455,6458,6462,0
262150,"pavillon en pierre noscéen",0,"pavillons en pierre noscéens",0,0,1,0,0,22,1,6352,6379,6403,6412,6455,6458,6462,6455,6458,6462,6455,6458,6462,0
262151,"villa en bois noscéenne",0,"villas en bois noscéennes",0,0,1,1,0,22,2,6353,6380,6401,6410,6455,6458,6463,6455,6458,6463,6455,6458,6463,6463
262152,"villa composite noscéenne",0,"villas composites noscéennes",0,0,1,1,0,22,2,6354,6381,6402,6411,6455,6458,6463,6455,6458,6463,6455,6458,6463,6463
262153,"villa en pierre noscéenne",0,"villas en pierre noscéennes",0,0,1,1,0,22,2,6355,6382,6403,6412,6455,6458,6463,6455,6458,6463,6455,6458,6463,6463
262154,"maisonnette en bois sombrelinçoise",0,"maisonnettes en bois sombrelinçoises",0,0,1,1,0,23,0,6356,6383,6404,6413,6456,6459,6464,0,0,0,6456,6459,6464,0
262155,"maisonnette composite sombrelinçoise",0,"maisonnettes composites sombrelinçoises",0,0,1,1,0,23,0,6357,6384,6405,6414,6456,6459,6464,0,0,0,6456,6459,6464,0
