key,0,1
#,,
offset,4,0
Int32,UInt8,String
0,0,""
1,7,"Attraper des méduses ou des crabes"
2,5,"Attraper des poissons de rareté trois étoiles (★★★) ou plus"
3,3,"●★★★★を3匹釣る。"
4,34,"Attraper un poisson qui tire peu (!)"
5,18,"Attraper un poisson qui tire bien (!!)"
6,6,"Attraper un poisson qui tire fort (!!!)"
7,5,"Attraper des requins"
8,5,"Attraper des poissons de rareté trois étoiles (★★★) ou plus"
9,3,"●★★★★を3匹釣る。"
10,34,"Attraper un poisson qui tire peu (!)"
11,11,"Attraper un poisson qui tire bien (!!)"
12,13,"Attraper un poisson qui tire fort (!!!)"
13,13,"Attraper des crabes"
14,5,"Attraper des poissons de rareté trois étoiles (★★★) ou plus"
15,3,"●★★★★を3匹釣る。"
16,31,"Attraper un poisson qui tire peu (!)"
17,27,"Attraper un poisson qui tire bien (!!)"
18,5,"Attraper un poisson qui tire fort (!!!)"
19,13,"Attraper des fugus"
20,5,"Attraper des poissons de rareté trois étoiles (★★★) ou plus"
21,3,"●★★★★を3匹釣る。"
22,39,"Attraper un poisson qui tire peu (!)"
23,18,"Attraper un poisson qui tire bien (!!)"
24,8,"Attraper un poisson qui tire fort (!!!)"
25,19,"Attraper des crevettes ou des céphalopodes"
26,5,"Attraper des poissons de rareté trois étoiles (★★★) ou plus"
27,41,"Attraper un poisson qui tire peu (!)"
28,26,"Attraper un poisson qui tire bien (!!)"
29,7,"Attraper un poisson qui tire fort (!!!)"
30,17,"Attraper des crevettes ou des mollusques"
31,5,"Attraper des poissons de rareté trois étoiles (★★★) ou plus"
32,49,"Attraper un poisson qui tire peu (!)"
33,16,"Attraper un poisson qui tire bien (!!)"
34,8,"Attraper un poisson qui tire fort (!!!)"
35,13,"Attraper des crevettes-mantes ou des créatures antiques"
36,5,"Attraper des poissons de rareté trois étoiles (★★★) ou plus"
37,30,"Attraper un poisson qui tire peu (!)"
38,22,"Attraper un poisson qui tire bien (!!)"
39,9,"Attraper un poisson qui tire fort (!!!)"
