key,0,1,2,3,4,5
#,SortKey,PlaceName,Location,Name0,Name1,Name2
offset,20,12,16,0,4,8
Int32,UInt8,Int32,Int32,String,String,String
0,0,0,0,"Non défini","無効","Non défini"
1,1,0,0,"N'importe où","world","monde"
2,2,500,1,"Limsa Lominsa","Limsa Lominsa","limsa"
3,3,502,1,"La Noscea","La Noscea","noscea"
4,4,501,1,"Antre des loups","The Wolves' Den","antredesloups"
5,5,506,2,"Gridania","Gridania","gridania"
6,6,507,2,"Sombrelinceul","The Black Shroud","sombrelinceul"
7,7,504,3,"Ul'dah","Ul'dah","uldah"
8,8,505,3,"Thanalan","Thanalan","thanalan"
9,9,503,3,"Gold Saucer","The Gold Saucer","goldsaucer"
10,10,512,4,"Ishgard","Ishgard","ishgard"
11,11,508,4,"Coerthas","Coerthas","coerthas"
12,12,510,4,"Abalathia","Abalathia's Spine","abalathia"
13,13,4136,4,"Idyllée","Idyllshire","idyllée"
14,14,511,4,"Dravania","Dravania","dravania"
15,15,4137,5,"Étendue de Rhalgr","Rhalgr's Reach","rhalgr"
16,16,514,5,"Gyr Abania","Gyr Abania","gyrabania"
17,17,513,6,"Kugane","Kugane","kugane"
18,18,515,6,"Othard","Othard","othard"
19,19,3745,7,"Radz-at-Han","Radz-at-Han","radzathan"
20,20,3741,7,"Thavnair","Thavnair","thavnair"
21,21,4138,7,"Garlemald","Garlemald","garlemald"
22,22,516,8,"Cristarium","The Crystarium","cristarium"
23,23,517,8,"Eulmore","Eulmore","eulmore"
24,24,518,8,"Norvrandt","Norvrandt","norvrandt"
25,25,509,9,"Mor Dhona","Mor Dhona","mordhona"
26,26,3744,11,"Vieille Sharlayan","Old Sharlayan","sharlayan"
27,27,3740,11,"Labyrinthos","Labyrinthos","labyrinthos"
28,28,3742,9,"Espace intersidéral","The Sea of Stars","espace"
29,29,3743,9,"Ancien monde","The World Unsundered","ancienmonde"
30,35,519,9,"Autres","Elsewhere","autres"
31,30,4515,10,"Tuliyollal","Tuliyollal","tuliyollal"
32,31,4511,10,"Yok Tural","Yok Tural","yoktural"
33,32,4512,10,"Xak Tural","Xak Tural","xaktural"
34,33,4514,10,"Solution Neuf","Solution Nine","solutionneuf"
35,34,4513,9,"Monde inéphémère","Unlost World","mondeinéphémère"
