key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
#,RequiredFlag,UnlockFlag,RequiredLevel,RequiredSeals,RewardExperience,PercentBase,,GcArmyExpeditionType,Name,Description,ExpeditionParams[0].RewardItem,ExpeditionParams[1].RewardItem,ExpeditionParams[2].RewardItem,ExpeditionParams[3].RewardItem,ExpeditionParams[4].RewardItem,ExpeditionParams[5].RewardItem,ExpeditionParams[0].RewardQuantity,ExpeditionParams[1].RewardQuantity,ExpeditionParams[2].RewardQuantity,ExpeditionParams[3].RewardQuantity,ExpeditionParams[4].RewardQuantity,ExpeditionParams[5].RewardQuantity,ExpeditionParams[0].RequiredPhysical,ExpeditionParams[1].RequiredPhysical,ExpeditionParams[2].RequiredPhysical,ExpeditionParams[3].RequiredPhysical,ExpeditionParams[4].RequiredPhysical,ExpeditionParams[5].RequiredPhysical,ExpeditionParams[0].PercentPhysicalMet,ExpeditionParams[1].PercentPhysicalMet,ExpeditionParams[2].PercentPhysicalMet,ExpeditionParams[3].PercentPhysicalMet,ExpeditionParams[4].PercentPhysicalMet,ExpeditionParams[5].PercentPhysicalMet,ExpeditionParams[0].RequiredMental,ExpeditionParams[1].RequiredMental,ExpeditionParams[2].RequiredMental,ExpeditionParams[3].RequiredMental,ExpeditionParams[4].RequiredMental,ExpeditionParams[5].RequiredMental,ExpeditionParams[0].PercentMentalMet,ExpeditionParams[1].PercentMentalMet,ExpeditionParams[2].PercentMentalMet,ExpeditionParams[3].PercentMentalMet,ExpeditionParams[4].PercentMentalMet,ExpeditionParams[5].PercentMentalMet,ExpeditionParams[0].RequiredTactical,ExpeditionParams[1].RequiredTactical,ExpeditionParams[2].RequiredTactical,ExpeditionParams[3].RequiredTactical,ExpeditionParams[4].RequiredTactical,ExpeditionParams[5].RequiredTactical,ExpeditionParams[0].PercentTacticalMet,ExpeditionParams[1].PercentTacticalMet,ExpeditionParams[2].PercentTacticalMet,ExpeditionParams[3].PercentTacticalMet,ExpeditionParams[4].PercentTacticalMet,ExpeditionParams[5].PercentTacticalMet,ExpeditionParams[0].PercentAllMet,ExpeditionParams[1].PercentAllMet,ExpeditionParams[2].PercentAllMet,ExpeditionParams[3].PercentAllMet,ExpeditionParams[4].PercentAllMet,ExpeditionParams[5].PercentAllMet
offset,110,111,112,108,104,113,114,115,0,4,8,24,40,56,72,88,18,34,50,66,82,98,12,28,44,60,76,92,19,35,51,67,83,99,14,30,46,62,78,94,20,36,52,68,84,100,16,32,48,64,80,96,21,37,53,69,85,101,22,38,54,70,86,102
Int32,UInt8,UInt8,UInt8,UInt16,UInt32,UInt8,UInt8,UInt8,String,String,Int32,Int32,Int32,Int32,Int32,Int32,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8
0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,8,1,0,7500,100,0,1,"Patrouille urbaine","Simple patrouille à l'intérieur <hex:02092CE802FF11>de Limsa Lominsa<hex:FF0C>de Gridania<hex:FF09>d'Ul'dah<hex:03> pour assurer la sécurité des citoyens.",0,0,0,0,0,0,0,0,0,0,0,0,145,145,145,145,145,145,20,20,20,20,20,20,140,140,140,140,140,140,20,20,20,20,20,20,140,140,140,140,140,140,20,20,20,20,20,20,20,20,20,20,20,20
2,8,0,1,500,7500,20,0,1,"Liaison vers poste avancé","Ordre de transmettre un message important aux hommes <hex:02093CE802FF14>du poste de Nevelle<hex:FF0B>du Bannock<hex:FF17>de la porte de Sagolii<hex:03>.",0,0,0,0,0,0,0,0,0,0,0,0,165,165,165,150,160,150,20,20,20,20,20,20,160,160,170,170,150,160,20,20,20,20,20,20,160,160,150,165,175,175,20,20,20,20,20,20,20,20,20,20,20,20
3,8,0,1,500,9000,20,0,1,"Patrouille périphérique","Ordre de patrouiller sur les routes <hex:020946E802FF16>de la Noscea centrale<hex:FF16>de la Forêt centrale<hex:FF14>du Thanalan central<hex:03> et d'éliminer les créatures pouvant attaquer les voyageurs et marchands.",0,0,0,0,0,0,0,0,0,0,0,0,245,245,150,195,155,195,20,20,20,20,20,20,155,200,255,255,195,155,20,20,20,20,20,20,200,155,195,150,250,250,20,20,20,20,20,20,20,20,20,20,20,20
4,8,0,5,500,10500,20,0,1,"Repérage de positions hommes-bêtes","Des <hex:02091DE802FF08>Kobolds<hex:FF06>Ixali<hex:FF09>Amalj'aa<hex:03> auraient été aperçus <hex:02094AE802FF15>dans la Basse-Noscea<hex:FF16>dans la Forêt du sud<hex:FF19>dans le Thanalan central<hex:03>. Ordre d'aller sur place et d'observer les mouvements de l'ennemi.",0,0,0,0,0,0,0,0,0,0,0,0,150,195,155,245,245,195,20,20,20,20,20,20,255,155,195,200,155,255,20,20,20,20,20,20,195,250,250,155,200,150,20,20,20,20,20,20,20,20,20,20,20,20
5,8,0,10,500,12000,20,0,1,"Escorte d'une unité de ravitaillement","Ordre d'escorter une unité de ra<hex:02160103>vi<hex:02160103>tail<hex:02160103>le<hex:02160103>ment jusqu'<hex:020959E802FF20>au camp de la vallée du Crâne<hex:FF18>à la tour d'Amarissaix<hex:FF1B>au camp des Os desséchés<hex:03> et d'en assurer la sécurité à tout prix.",0,0,0,0,0,0,0,0,0,0,0,0,210,125,305,305,210,115,20,20,20,20,20,20,125,210,210,130,320,320,20,20,20,20,20,20,310,310,130,210,115,210,20,20,20,20,20,20,20,20,20,20,20,20
6,8,0,15,500,13500,20,0,1,"Extermination de créatures gênantes","Des habitants <hex:020946E802FF16>de la Noscea centrale<hex:FF16>de la Forêt centrale<hex:FF14>du Thanalan central<hex:03> ont réclamé l'extermination de <hex:020929E802FF09>goobbues<hex:FF09>tréants<hex:FF11>tortues géantes<hex:03> qui gênent leurs activités.",14945,14945,14945,14945,14945,14945,1,1,1,1,1,1,140,225,320,320,130,225,20,20,20,20,20,20,225,140,145,225,335,335,20,20,20,20,20,20,325,325,225,145,225,130,20,20,20,20,20,20,20,20,20,20,20,20
