key,0,1,2,3,4,5,6
#,Icon,Category,MainCommandCategory,SortID,,Name,Description
offset,8,12,13,15,14,0,4
Int32,Int32,UInt8,UInt8,Int8,UInt8,String,String
0,0,0,0,0,0,"",""
1,16,1,1,-5,1,"Dégainer/Rengainer","Dégaine/rengaine votre arme principale."
2,1,6,1,0,6,"Personnage","Affiche des in<hex:02160103>for<hex:02160103>ma<hex:02160103>tions sur votre personnage, ses attributs, son équipement, ses titres, ses devises, etc."
3,4,2,1,-4,2,"Actions et traits","Affiche le menu des actions et des traits dont dispose votre personnage. Les actions peuvent être ajoutées aux barres de raccourcis et les actions de rôle peuvent y être sé<hex:02160103>lec<hex:02160103>tion<hex:02160103>nées."
4,5,4,2,0,22,"Journal","Affiche une liste des quêtes, mandats et missions de compagnie en cours et terminés. Depuis cette liste, vous pouvez confirmer les objectifs et les lieux ou abandonner la tâche."
5,47,13,2,9,31,"Calendrier","Indique des in<hex:02160103>for<hex:02160103>ma<hex:02160103>tions relatives à divers éléments de jeu comme l'obtention d'au<hex:02160103>to<hex:02160103>ri<hex:02160103>sa<hex:02160103>tions pour les mandats ou encore le quota restant de quêtes quotidiennes des peuples alliés."
6,6,19,1,13,18,"Hauts faits","Affiche une liste des hauts faits, leurs conditions d'obtention, leur taux de progression ainsi que les récompenses qui leur sont associées."
7,23,4,3,1,35,"Carnet de récolte","Affiche des in<hex:02160103>for<hex:02160103>ma<hex:02160103>tions sur les objets déjà récoltés ainsi que les lieux de récolte classés par zone."
8,21,1,3,-2,32,"Bestiaire","Affiche une liste d'ennemis à vaincre pour les classes de combattants et de mages, des in<hex:02160103>for<hex:02160103>ma<hex:02160103>tions sur l'habitat des monstres, le nombre tué, et l'expérience gagnée."
9,22,3,3,0,34,"Carnet d'artisanat","Ouvre l'interface d'artisanat depuis laquelle vous pouvez sélectionner des objets à synthétiser."
10,2,8,1,2,8,"Inventaire","Affiche une liste de tous les cristaux et objets de votre inventaire. À partir de cette liste, vous pouvez vous équiper d'objets, les utiliser, les jeter ou les trier."
