key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,Type,,,,,,,,,,,,,
offset,34,28,32,0,20,4,21,22,23,24,25,8,12,16
Int32,UInt8,UInt32,UInt16,String,Int8,String,Int8,Int8,Int8,Int8,Int8,String,String,String
0,0,0,0,"",0,"",0,0,1,0,0,"","",""
1,1,243001,98,"ceinture de force",0,"ceintures de force",0,0,1,1,0,"Ceinture de force","PV maximums +20%","Bonus de PV"
2,1,243002,35,"anneau de substitution",0,"anneaux de substitution",0,1,1,0,0,"Anneau de substitution","Effet spécial<hex:021D0103>: la bête est sacrifiée pour réanimer le joueur en cas de K.O.<hex:02100103>Sans effet si aucune bête n'est appelée.","Résurrection par sacrifice en cas de K.O."
3,1,243003,175,"bague revigorante",0,"bagues revigorantes",0,0,1,1,0,"Bague revigorante","Effet spécial<hex:021D0103>: restaure 25% des PV du joueur à la fin des combats.","PV restaurés en fin de combat"
4,1,243004,35,"sac d'alchimiste",0,"sacs d'alchimiste",0,0,1,0,0,"Sac d'alchimiste","Effet spécial<hex:021D0103>: octroie une Potion de bête au hasard en sortant de la tente.","Potion de bête obtenue en sortant de la tente"
5,1,243005,56,"chapeau de rituel",0,"chapeaux de rituel",0,0,1,0,0,"Chapeau de rituel","Dégâts magiques subis -10%","Vulnérabilité magique diminuée"
6,1,243006,63,"armure en acier",0,"armures en acier",0,1,1,1,0,"Armure en acier","Dégâts physiques subis -15%","Vulnérabilité physique diminuée"
7,1,243007,190,"couronne sauvage",0,"couronnes sauvages",0,0,1,1,0,"Couronne sauvage","Dégâts physiques infligés +10%<hex:02100103>Chances de critiques +3%<hex:02100103>Effet spécial<hex:021D0103>: les propriétés de cette pièce d'équipement de dressage s'appliquent également à la bête appelée.","Bonus de dégâts physiques, chances de critiques améliorées (bête incluse)"
8,1,243008,190,"bâton de sagesse",0,"bâtons de sagesse",0,0,1,0,0,"Bâton de sagesse","Dégâts magiques infligés +20%<hex:02100103>Effet spécial<hex:021D0103>: les propriétés de cette pièce d'équipement de dressage s'appliquent également à la bête appelée.","Bonus de dégâts magiques (bête incluse)"
9,1,243009,174,"poignet de force",0,"poignets de force",0,0,1,0,0,"Poignet de force","Dégâts physiques infligés +12%<hex:02100103>Esquive +3%","Bonus de dégâts physiques, esquive augmentée"
10,1,243010,84,"hachimaki noué",0,"hachimaki noués",0,0,1,0,0,"Hachimaki noué","Dégâts physiques infligés +5%<hex:02100103>Dégâts physiques subis -5%","Bonus de dégâts physiques, vulnérabilité physique diminuée"
11,1,243011,174,"béret vert",0,"bérets verts",0,0,1,0,0,"Béret vert","Puissance des attaques critiques +35<hex:02100103>Dégâts infligés +3%<hex:02100103>PV maximums +7%","Bonus de critiques, bonus de dégâts, bonus de PV"
12,1,243012,91,"paire de bottes mystiques",0,"paires de bottes mystiques",0,0,1,1,0,"Bottes mystiques","Esquive +8%<hex:02100103>Vitesse de déplacement +50%<hex:02100103>Effet spécial<hex:021D0103>: augmente de 15% les effets curatifs des actions et des objets du Dédale que vous utilisez.","Esquive augmentée, vitesse de déplacement augmentée, effets curatifs améliorés"
13,1,243013,104,"bague de préservation",0,"bagues de préservation",0,0,1,1,0,"Bague de préservation","Dégâts subis -10%<hex:02100103>PV maximums +7%","Réduction des dégâts subis, bonus de PV"
