key,0,1,2,3,4,5,6,7
#,PlayerLevel,,,PlaceName,Icon,Order,Name,Description
offset,12,20,14,16,8,18,0,4
Int32,UInt16,PackedBool0,UInt16,UInt16,UInt32,UInt16,String,String
0,0,False,0,0,0,1,"",""
1,60,False,0,2089,112145,100,"Entraînement basique","“Le cœur d'un guerrier doit être solide comme la pierre, immense comme le ciel et vaste comme la mer.” Ce vieil adage éorzéen est une sagesse qui encourage les combattants à per<hex:02160103>fec<hex:02160103>tion<hex:02160103>ner leur technique sans relâche, et ce n'est pas un hasard si certains aventuriers appellent cette aire d'en<hex:02160103>traî<hex:02160103>ne<hex:02160103>ment “Pierre, ciel, mer”. Déchaînez-vous sur le mannequin, et améliorez vos performances<hex:021D0103>!"
2,60,False,0,2089,112146,101,"Simulation : L'Immensité bleue (extrême)","Ce mannequin a été fabriqué sur la base de témoignages d'aventuriers qui ont tenté d'éliminer la nouvelle incarnation du Migrateur des brumes. Si jamais vous décidez de monter une expédition punitive contre ce gobeur d'îles flottantes, n'hésitez surtout pas à vous entraîner avant de partir au combat<hex:021D0103>!"
3,60,False,0,2089,112147,102,"Simulation : Gordias : le Père","La guilde des aventuriers a appris que vous aviez trouvé un moyen d'entrer à l'intérieur du géant mécanique qui est apparu dans l'Arrière-pays dravanien. Afin de vous aider à vous préparer au mieux pour cette périlleuse mission, nous avons fait fabriquer un mannequin spécial qui devrait vous permettre de vous entraîner afin d'affronter tous les dangers qui vous attendent dans ce Primordial."
4,60,False,0,2089,112148,103,"Simulation : Le Poing du Père (sadique)","Le ménestrel errant nous a narré vos exploits à l'intérieur du Primordial Alexander. Pour vous récompenser de vos efforts, nous avons fait fabriquer un mannequin aussi résistant que les ennemis que vous avez dû affronter. N'hésitez pas à vous entraîner dessus afin de montrer aux autres aventuriers l'étendue de votre puissance<hex:021D0103>!"
5,60,False,0,2089,112149,104,"Simulation : Le Poignet du Père (sadique)","Le ménestrel errant nous a narré vos exploits à l'intérieur du Primordial Alexander. Pour vous récompenser de vos efforts, nous avons fait fabriquer un mannequin aussi résistant que les ennemis que vous avez dû affronter. N'hésitez pas à vous entraîner dessus afin de montrer aux autres aventuriers l'étendue de votre puissance<hex:021D0103>!"
6,60,False,0,2089,112150,105,"Simulation : Le Bras du Père (sadique)","Le ménestrel errant nous a narré vos exploits à l'intérieur du Primordial Alexander. Pour vous récompenser de vos efforts, nous avons fait fabriquer un mannequin aussi résistant que les ennemis que vous avez dû affronter. N'hésitez pas à vous entraîner dessus afin de montrer aux autres aventuriers l'étendue de votre puissance<hex:021D0103>!"
7,60,False,0,2089,112151,106,"Simulation : Le Fardeau du Père (sadique)","Le ménestrel errant nous a narré vos exploits à l'intérieur du Primordial Alexander. Pour vous récompenser de vos efforts, nous avons fait fabriquer un mannequin aussi résistant que les ennemis que vous avez dû affronter. N'hésitez pas à vous entraîner dessus afin de montrer aux autres aventuriers l'étendue de votre puissance<hex:021D0103>!"
8,60,False,0,2089,112152,107,"Simulation : le règne de Thordan","La rumeur de votre combat contre Thordan et ses chevaliers de la Table ronde est parvenue jusqu'à nos oreilles. Le ménestrel errant nous a raconté toute l'histoire dans les moindres détails<hex:021D0103>! Nous nous sommes basés sur son récit pour fabriquer un mannequin aussi redoutable que les protagonistes de cette terrible bataille. En espérant qu'il vous plaira<hex:021D0103>!"
9,60,False,0,2089,112153,108,"Simulation : Sephirot (extrême)","Nous avons entendu dire que vous avez vaincu l'une des divinités démoniaques de la Triade guerrière. Toutes nos félicitations<hex:021D0103>! Nous avons réalisé un mannequin ex<hex:02160103>trê<hex:02160103>me<hex:02160103>ment robuste, qui devrait vous aider à vous préparer aux prochaines batailles qui vous attendent."
10,60,False,0,2089,112154,109,"Simulation : Midas : le Fils","Nos agents nous ont indiqué que le Primordial-machine Alexander avait bougé une fois de plus, et ils suspectent les Gobelins de la Main indigo d'y avoir introduit de nouvelles armes pour protéger leur base d'opération. De ce fait, nous avons commandé en urgence un mannequin qui vous permettra de vous préparer à la réussite de votre mission."
11,60,False,0,2089,112155,110,"Simulation : Le Poing du Fils (sadique)","Le ménestrel errant nous a conté vos nouveaux exploits à l'intérieur du Primordial-machine. Nous avons im<hex:02160103>mé<hex:02160103>dia<hex:02160103>te<hex:02160103>ment contacté notre meilleur ouvrier pour lui demander de fabriquer un mannequin aussi robuste que les ennemis que vous avez combattus dans le bras gauche d'Alexander. N'hésitez pas à vous défouler dessus<hex:021D0103>!"
12,60,False,0,2089,112156,111,"Simulation : Le Poignet du Fils (sadique)","Le ménestrel errant nous a conté vos nouveaux exploits à l'intérieur du Primordial-machine. Nous avons im<hex:02160103>mé<hex:02160103>dia<hex:02160103>te<hex:02160103>ment contacté notre meilleur ouvrier pour lui demander de fabriquer un mannequin aussi robuste que les ennemis que vous avez combattus dans le bras gauche d'Alexander. N'hésitez pas à vous défouler dessus<hex:021D0103>!"
13,60,False,0,2089,112157,112,"Simulation : Le Bras du Fils (sadique)","Le ménestrel errant nous a conté vos nouveaux exploits à l'intérieur du Primordial-machine. Nous avons im<hex:02160103>mé<hex:02160103>dia<hex:02160103>te<hex:02160103>ment contacté notre meilleur ouvrier pour lui demander de fabriquer un mannequin aussi robuste que les ennemis que vous avez combattus dans le bras gauche d'Alexander. N'hésitez pas à vous défouler dessus<hex:021D0103>!"
14,60,False,0,2089,112158,113,"Simulation : Le Fardeau du Fils (sadique)","Le ménestrel errant nous a conté vos nouveaux exploits à l'intérieur du Primordial-machine. Nous avons im<hex:02160103>mé<hex:02160103>dia<hex:02160103>te<hex:02160103>ment contacté notre meilleur ouvrier pour lui demander de fabriquer un mannequin aussi robuste que les ennemis que vous avez combattus dans le bras gauche d'Alexander. N'hésitez pas à vous défouler dessus<hex:021D0103>!"
