key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Name,ModelTop,ModelBody,ModelLegs,GrandCompany,IconHead,IconBody,IconLegs,Order
offset,0,12,4,13,14,15,16,17,8,20,24,28,38,32,34,36,39
Int32,String,Int8,String,Int8,Int8,Int8,Int8,Int8,String,Int32,Int32,Int32,UInt8,UInt16,UInt16,UInt16,UInt8
0,"harnachement en cuir",0,"harnachements en cuir",0,0,1,0,0,"Harnachement en cuir",0,0,0,0,0,0,0,0
1,"harnachement du Maelstrom",0,"harnachements du Maelstrom",0,0,1,0,0,"Harnachement du Maelstrom",65538,65541,65538,1,58549,58553,58551,1
2,"demi-barde du Maelstrom",0,"demi-bardes du Maelstrom",0,0,1,1,0,"Demi-barde du Maelstrom",65542,65542,65542,1,58501,58502,58503,2
3,"barde du Maelstrom",0,"bardes du Maelstrom",0,0,1,1,0,"Barde du Maelstrom",131078,131078,131078,1,58504,58505,58506,3
4,"barde lourde du Maelstrom",0,"bardes lourde du Maelstrom",0,0,1,1,0,"Barde lourde du Maelstrom",196614,196614,196614,1,58507,58508,58509,4
5,"harnachement des Deux Vipères",0,"harnachements des Deux Vipères",0,0,1,0,0,"Harnachement des Deux Vipères",65538,131077,65538,2,58549,58556,58551,5
6,"demi-barde des Deux Vipères",0,"demi-bardes des Deux Vipères",0,0,1,1,0,"Demi-barde des Deux Vipères",65543,65543,65543,2,58510,58511,58512,6
7,"barde des Deux Vipères",0,"bardes des Deux Vipères",0,0,1,1,0,"Barde des Deux Vipères",131079,131079,131079,2,58513,58514,58515,7
8,"barde lourde des Deux Vipères",0,"bardes lourdes des Deux Vipères",0,0,1,1,0,"Barde lourde des Deux Vipères",196615,196615,196615,2,58516,58517,58518,8
9,"harnachement des Immortels",0,"harnachements des Immortels",0,0,1,0,0,"Harnachement des Immortels",65538,196613,65538,3,58549,58559,58551,9
10,"demi-barde des Immortels",0,"demi-bardes des Immortels",0,0,1,1,0,"Demi-barde des Immortels",65544,65544,65544,3,58519,58520,58521,10
11,"barde des Immortels",0,"bardes des Immortels",0,0,1,1,0,"Barde des Immortels",131080,131080,131080,3,58522,58523,58524,11
12,"barde lourde des Immortels",0,"bardes lourde des Immortels",0,0,1,1,0,"Barde lourde des Immortels",196616,196616,196616,3,58525,58526,58527,12
13,"barde de paladin",0,"bardes de paladin",0,0,1,1,0,"Barde de paladin",65546,65546,65546,0,58528,58529,58530,13
14,"barde de chevalier dragon",0,"bardes de chevalier dragon",0,0,1,1,0,"Barde de chevalier dragon",65547,65547,65547,0,58531,58532,58533,14
15,"barde de mage blanc",0,"bardes de mage blanc",0,0,1,1,0,"Barde de mage blanc",65549,65549,65549,0,58534,58535,58536,15
16,"barde de Sleipnir",0,"bardes de Sleipnir",0,0,1,1,0,"Barde de Sleipnir",65550,65550,65550,0,58537,58538,58539,171
17,"barde de béhémoth",0,"bardes de béhémoth",0,0,1,1,0,"Barde de béhémoth",65551,65551,65551,0,58540,58541,58542,172
18,"chanfrein d'aviateur",0,"chanfreins d'aviateur",0,0,1,0,0,"Chanfrein d'aviateur",65555,0,0,0,58543,0,0,51
19,"barde de mage noir",0,"bardes de mage noir",0,0,1,1,0,"Barde de mage noir",65548,65548,65548,0,58546,58547,58548,21
20,"chanfrein du roi chocobo",0,"chanfreins du roi chocobo",0,0,1,0,0,"Chanfrein du roi chocobo",65553,0,0,0,58561,0,0,52
21,"barde de la fête des étoiles",0,"bardes de la fête des étoiles",0,0,1,1,0,"Barde de la fête des étoiles",65540,65540,65540,0,58564,58565,58566,101
22,"barde de Léviathan",0,"bardes de Léviathan",0,0,1,1,0,"Barde de Léviathan",65556,65556,65556,0,58567,58568,58569,125
23,"barde de la Lumière",0,"bardes de la Lumière",0,0,1,1,0,"Barde de la Lumière",65557,65557,65557,0,58570,58571,58572,41
24,"chanfrein ovoïde",0,"chanfreins ovoïde",0,0,1,0,0,"Chanfrein ovoïde",65558,0,0,0,58573,0,0,102
25,"barde de Ramuh",0,"bardes de Ramuh",0,0,1,1,0,"Barde de Ramuh",65560,65560,65560,0,58576,58577,58578,126
26,"chanfrein à panache",0,"chanfreins à panache",0,0,1,0,0,"Chanfrein à panache",65559,0,0,0,58579,0,0,53
27,"barde d'effroi",0,"bardes d'effroi",0,0,1,1,0,"Barde d'effroi",65561,65561,65561,0,58582,58583,58584,103
28,"barde de Shiva",0,"bardes de Shiva",0,0,1,1,0,"Barde de Shiva",65562,65562,65562,0,58585,58586,58587,127
29,"barde de flambeur",0,"bardes de flambeur",0,0,1,1,0,"Barde de flambeur",65565,65565,65565,0,58591,58592,58593,42
30,"barde de soupirant",0,"bardes de soupirant",0,0,1,1,0,"Barde de soupirant",65566,65566,65566,0,58588,58589,58590,104
31,"demi-barde ishgardaise",0,"demi-bardes ishgardaises",0,0,1,1,0,"Demi-barde ishgardaise",65567,65567,65567,0,58594,58595,58596,54
32,"barde ishgardaise",0,"bardes ishgardaises",0,0,1,1,0,"Barde ishgardaise",131103,131103,131103,0,58597,58598,58599,55
33,"",0,"",0,0,0,0,0,"",0,0,0,0,0,0,0,0
34,"barde de Bismarck",0,"bardes de Bismarck",0,0,1,1,0,"Barde de Bismarck",65568,65568,65568,0,58603,58604,58605,128
35,"barde de Ravana",0,"bardes de Ravana",0,0,1,1,0,"Barde de Ravana",65569,65569,65569,0,58606,58607,58608,129
36,"barde noble",0,"bardes nobles",0,0,1,1,0,"Barde noble",65570,65570,65570,0,58609,58610,58611,57
37,"barde orthodoxe",0,"bardes orthodoxes",0,0,1,1,0,"Barde orthodoxe",131106,131106,131106,0,58612,58613,58614,58
38,"barde des Hautes terres",0,"bardes des Hautes terres",0,0,1,1,0,"Barde des Hautes terres",65571,65571,65571,0,58615,58616,58617,59
39,"barde de la rose sauvage",0,"bardes de la rose sauvage",0,0,1,1,0,"Barde de la rose sauvage",65573,65573,65573,0,58618,58619,58620,43
40,"barde de la Table ronde",0,"bardes de la Table ronde",0,0,1,1,0,"Barde de la Table ronde",65574,65574,65574,0,58621,58622,58623,130
41,"barde de Sephirot",0,"bardes de Sephirot",0,0,1,1,0,"Barde de Sephirot",65572,65572,65572,0,58624,58626,58625,131
42,"barde de chasseur de Prœufs",0,"bardes de chasseur de Prœufs",0,0,1,1,0,"Barde de chasseur de Prœufs",65575,65575,65575,0,58627,58629,58628,105
43,"barde orientale",0,"bardes orientales",0,0,1,1,0,"Barde orientale",65577,65577,65577,0,58630,58632,58631,60
44,"barde de course",0,"bardes de course",0,0,1,1,0,"Barde de course",65579,65579,65579,0,58633,58635,58634,61
45,"barde de Nidhogg",0,"bardes de Nidhogg",0,0,1,1,0,"Barde de Nidhogg",65578,65578,65578,0,58636,58638,58637,132
46,"barde de majordome",0,"bardes de majordome",0,0,1,1,0,"Barde de majordome",65580,65580,65580,0,58639,58641,58640,62
47,"barde de Sophia",0,"bardes de Sophia",0,0,1,1,0,"Barde de Sophia",65576,65576,65576,0,58642,58644,58643,133
48,"barde de servante",0,"bardes de servante",0,0,1,1,0,"Barde de servante",65581,65581,65581,0,58645,58647,58646,63
49,"barde de servante des Manderville",0,"bardes de servante des Manderville",0,0,1,1,0,"Barde de servante des Manderville",131117,131117,131117,0,58648,58650,58649,64
50,"barde angélique",0,"bardes angéliques",0,0,1,1,0,"Barde angélique",65583,65583,65583,0,58651,58653,58652,65
51,"barde démoniaque",0,"bardes démoniaques",0,0,1,1,0,"Barde démoniaque",65584,65584,65584,0,58654,58656,58655,66
52,"barde de Zurvan",0,"bardes de Zurvan",0,0,1,1,0,"Barde de Zurvan",65582,65582,65582,0,58657,58659,58658,134
53,"barde de Susano",0,"bardes de Susano",0,0,1,1,0,"Barde de Susano",65585,65585,65585,0,58660,58662,58661,135
54,"barde mhigoise",0,"bardes mhigoise",0,0,1,1,0,"Barde mhigoise",65586,65586,65586,0,58663,58665,58664,67
55,"barde de Lakshmi",0,"bardes de Lakshmi",0,0,1,1,0,"Barde de Lakshmi",65587,65587,65587,0,58666,58668,58667,136
56,"barde chocobo hingashienne",0,"bardes chocobo hingashiennes",0,0,1,1,0,"Barde chocobo hingashienne",65588,65588,65588,0,58669,58671,58670,68
57,"barde mog hingashienne",0,"bardes mog hingashiennes",0,0,1,1,0,"Barde mog hingashienne",131124,131124,131124,0,58672,58674,58673,69
58,"barde de Nezha",0,"bardes de Nezha",0,0,1,1,0,"Barde de Nezha",65589,65589,65589,0,58675,58677,58676,70
59,"barde de Shinryu",0,"bardes de Shinryu",0,0,1,1,0,"Barde de Shinryu",65590,65590,65590,0,58678,58680,58679,137
60,"barde d'Ixion",0,"bardes d'Ixion",0,0,1,1,0,"Barde d'Ixion",65591,65591,65591,0,58681,58683,58682,173
