key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
#,Name,Description,LeveClient,,LeveAssignmentType,Town,ClassJobLevel,TimeLimit,AllowanceCost,PlaceNameStart,PlaceNameIssued,FishingSpot,,ClassJobCategory,JournalGenre,PlaceNameStartZone,IconCityState,DataId,CanCancel,MaxDifficulty,ExpFactor,ExpReward,GilReward,LeveRewardItem,LeveVfx,LeveVfxFrame,LevelLevemete,IconIssuer,LockedLeve,LevelStart,BGM
offset,0,4,36,78,40,44,72,79,80,48,52,74,81,82,24,56,60,64,86,83,8,12,16,20,84,85,28,68,86,32,76
Int32,String,String,Int32,UInt8,Int32,Int32,UInt16,UInt8,UInt8,Int32,Int32,UInt16,UInt8,UInt8,UInt32,Int32,Int32,Int32,PackedBool0,UInt8,Float32,UInt32,UInt32,UInt16,UInt8,UInt8,UInt32,Int32,PackedBool1,UInt32,UInt16
0,"","",0,0,0,0,0,0,1,0,0,0,0,0,0,1,20011,0,True,0,1,0,0,0,0,0,0,0,True,0,14
1,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
2,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
3,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
4,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
5,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
6,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
7,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
8,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
9,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
10,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
11,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
12,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
13,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
14,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
15,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
16,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
17,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
18,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
19,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
20,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
21,"Fabrication<hex:021D0103>: lances pour l'Ordre","L'ordre des Deux Vipères nous demande ré<hex:02160103>gu<hex:02160103>liè<hex:02160103>re<hex:02160103>ment des lances pour l'en<hex:02160103>traî<hex:02160103>ne<hex:02160103>ment de ses nouvelles recrues. Il s'agit d'un client important pour le Lièvre noir, et la livraison ne doit surtout pas prendre de retard. Nous cherchons un artisan fiable pour nous aider à satisfaire la commande en temps et en heure.",9,6,5,2,1,0,1,39,39,0,0,9,272,39,80012,917649,True,0,1,1330,113,2,18,5,2257767,110007,True,0,14
22,"Fabrication<hex:021D0103>: patins pour recrues","Bien décidé à réduire le nombre de blessés et de tués au combat, l'ordre des Deux Vipères a fait affecter un soldat versé dans l'art de la magie élémentaire à chacun de ses bataillons. Ce poste impliquant de nombreux déplacements, nous recherchons activement des menuisiers fiables disposés à mettre leurs talents à notre service pour fabriquer des chaussures en bois durables pour ces personnes.",9,6,5,2,1,0,1,39,39,0,0,9,272,39,80012,917650,True,0,1,1690,113,2,18,5,2257767,110007,True,0,14
