key,0,1
#,Prologue,Epilogue
offset,0,4
Int32,String,String
0,"",""
1,"Que dites-vous de ça, <hex:020818E905FF0B>Maîtresse<hex:FF08>Maître<hex:03><hex:021D0103>?<hex:02100103>J'ai le sentiment que ma force s'est encore rapprochée de la vôtre.","Que dites-vous de ça, <hex:020818E905FF0B>Maîtresse<hex:FF08>Maître<hex:03><hex:021D0103>?<hex:02100103>J'ai le sentiment que ma force s'est encore rapprochée de la vôtre."
2,"J'ai hâte de trouver un nouveau défi à relever pour vous montrer ce dont je suis capable<hex:021D0103>!","J'ai hâte de trouver un nouveau défi à relever pour vous montrer ce dont je suis capable<hex:021D0103>!"
3,"Les obstacles qui se dressent devant nous dépassent de loin ce que j'avais imaginé...<hex:02100103>Serai-je assez fort<hex:021D0103>?","Les obstacles qui se dressent devant nous dépassent de loin ce que j'avais imaginé...<hex:02100103>Serai-je assez forte<hex:021D0103>?"
4,"Voilà une épreuve qui semble insurmontable...<hex:02100103>Mais à vos côtés, <hex:020818E905FF0B>Maîtresse<hex:FF08>Maître<hex:03>, je me sens invincible<hex:021D0103>!","Voilà une épreuve qui semble insurmontable...<hex:02100103>Mais à vos côtés, <hex:020818E905FF0B>Maîtresse<hex:FF08>Maître<hex:03>, je me sens invincible<hex:021D0103>!"
5,"Pourquoi me regardez-vous avec un air si grave, <hex:020818E905FF0B>Maîtresse<hex:FF08>Maître<hex:03><hex:021D0103>?<hex:02100103>Ne vous en faites pas pour moi, je suis encore en état de combattre<hex:021D0103>!","Pourquoi me regardez-vous avec un air si grave, <hex:020818E905FF0B>Maîtresse<hex:FF08>Maître<hex:03><hex:021D0103>?<hex:02100103>Ne vous en faites pas pour moi, je suis encore en état de combattre<hex:021D0103>!"
6,"Devons-nous vraiment faire tout ça pour devenir plus forts<hex:021D0103>?<hex:02100103>... Non, ce n'est pas le moment de flancher.<hex:02100103>En avant, <hex:020818E905FF0B>Maîtresse<hex:FF08>Maître<hex:03><hex:021D0103>!","Devons-nous vraiment faire tout ça pour devenir plus <hex:020812E905FF07>fortes<hex:FF06>forts<hex:03><hex:021D0103>?<hex:02100103>... Non, ce n'est pas le moment de flancher.<hex:02100103>En avant, <hex:020818E905FF0B>Maîtresse<hex:FF08>Maître<hex:03><hex:021D0103>!"
7,"Regardez, <hex:020818E905FF0B>Maîtresse<hex:FF08>Maître<hex:03>, je commence à contrôler mon pouvoir<hex:021D0103>!<hex:02100103>Ardashir avait raison, nos efforts portent leurs fruits<hex:021D0103>!","Regardez, <hex:020818E905FF0B>Maîtresse<hex:FF08>Maître<hex:03>, je commence à contrôler mon pouvoir<hex:021D0103>!<hex:02100103>Ardashir avait raison, nos efforts portent leurs fruits<hex:021D0103>!"
8,"<hex:020818E905FF0B>Maîtresse<hex:FF08>Maître<hex:03>, suis-je à la hauteur de vos attentes<hex:021D0103>?<hex:02100103>Vous pouvez compter sur moi pour faire toujours plus d'efforts à votre service<hex:021D0103>!","<hex:020818E905FF0B>Maîtresse<hex:FF08>Maître<hex:03>, suis-je à la hauteur de vos attentes<hex:021D0103>?<hex:02100103>Vous pouvez compter sur moi pour faire toujours plus d'efforts à votre service<hex:021D0103>!"
9,"Toutes ces expériences vécues à vos côtés...<hex:02100103>Je sens qu'elles se matérialisent en un pouvoir immense<hex:021D0103>!","Toutes ces expériences vécues à vos côtés...<hex:02100103>Je sens qu'elles se matérialisent en un pouvoir immense<hex:021D0103>!"
10,"Encore quelques efforts et j'aurai un contrôle total sur le pouvoir qui m'habite.","Encore quelques efforts et j'aurai un contrôle total sur le pouvoir qui m'habite."
11,"Tout ce pouvoir qui afflue en moi...<hex:02100103>Grâce à nos voyages, je parviens enfin à le canaliser<hex:021D0103>!","Tout ce pouvoir qui afflue en moi...<hex:02100103>Grâce à nos voyages, je parviens enfin à le canaliser<hex:021D0103>!"
