key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
#,Vision,Objective,PreviousObjective,,,,,,,,,,,,,,,,,,,,
offset,0,4,8,18,23,28,19,24,29,20,25,30,21,26,31,22,27,32,33,14,16,12,34
Int32,String,String,String,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,Int16,Int16,UInt16,UInt8
0,"","","",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0
1,"Objectif de développement : construire votre hutte placide","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Parler à Chamoiselle<hex:021402EC03><hex:021302EC03>","",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0
2,"Objectif de développement : construire votre hutte placide","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Reparler à Chamoiselle<hex:021402EC03><hex:021302EC03>","Parler à Chamoiselle",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0
3,"Objectif de développement : construire votre hutte placide","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Utiliser le mode “Collecter” pour amasser des matériaux, puis parler à Chamoiselle<hex:021402EC03><hex:021302EC03>","Reparler à Chamoiselle",2,2,3,3,2,4,0,3,1,255,0,0,255,0,0,1,0,0,0,0
4,"Objectif de développement : construire votre hutte placide","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Accéder à l'atelier pour fabriquer une hache en pierre de pionnier, puis parler à Chamoiselle<hex:021402EC03><hex:021302EC03>","Utiliser le mode ""Collecter"" pour amasser des matériaux, puis parler à Chamoiselle",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0
5,"Objectif de développement : construire votre hutte placide","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Construire la hutte placide après avoir collecté les matériaux nécéssaires<hex:021402EC03><hex:021302EC03>","Accéder à l'atelier pour fabriquer une hache en pierre de pionnier, puis parler à Chamoiselle",10,10,11,0,10,1,11,5,12,3,5,4,8,5,9,0,0,0,0,0
6,"Objectif de développement : construire votre hutte placide","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Parler à Chamoiselle<hex:021402EC03><hex:021302EC03>","Construire la hutte placide après avoir collecté les matériaux nécéssaires",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0
7,"Objectif de développement : cultiver vos champs","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Parler à Chamoiselle<hex:021402EC03><hex:021302EC03>","
",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0
8,"Objectif de développement : cultiver vos champs","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Demander à Rodolfermier de préparer les terres arables<hex:021402EC03><hex:021302EC03>","Parler à Chamoiselle",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0
9,"Objectif de développement : cultiver vos champs","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Parler à Rodolfermier<hex:021402EC03><hex:021302EC03>","Demander à Rodolfermier de préparer les terres arables",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0
10,"Objectif de développement : cultiver vos champs","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Utiliser le mode “Semer” pour semer des graines dans vos champs<hex:021402EC03><hex:021302EC03>","Parler à Rodolfermier",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,-240,112,40,0
11,"Objectif de développement : cultiver vos champs","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Utiliser le mode “Arroser” pour asperger vos parcelles d'eau<hex:021402EC03><hex:021302EC03>","Utiliser le mode ""Semer"" pour semer des graines dans vos champs",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,-240,112,40,0
12,"Objectif de développement : cultiver vos champs","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Parler à Rodolfermier<hex:021402EC03><hex:021302EC03>","Utiliser le mode ""Arroser"" pour asperger vos parcelles d'eau",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0
13,"Objectif de développement : élever des animaux","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Parler à Chamoiselle<hex:021402EC03><hex:021302EC03>","",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0
14,"Objectif de développement : élever des animaux","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Demander à Béberger de préparer le pâturage<hex:021402EC03><hex:021302EC03>","Parler à Chamoiselle",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0
15,"Objectif de développement : élever des animaux","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Parler à Béberger<hex:021402EC03><hex:021302EC03>","Demander à Béberger de préparer le pâturage",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0
16,"Objectif de développement : élever des animaux","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Utiliser le mode “Capturer” pour attraper un animal<hex:021402EC03><hex:021302EC03>","Parler à Béberger",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,300,-252,600,0
17,"Objectif de développement : élever des animaux","<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>Parler à Béberger<hex:021402EC03><hex:021302EC03>","Utiliser le mode ""Capturer"" pour attraper un animal",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0
