key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
#,Item1,Item2,PlaceName,,Objective1,PopRange0,RequiredAmount1,,,Objective2,PopRange1,RequiredAmount2,,,Objective3,PopRange2,,,,,Image,,,,,
offset,20,24,60,62,64,28,70,40,73,66,32,71,44,74,68,36,72,48,75,52,56,0,4,8,12,16
Int32,UInt32,UInt32,UInt16,UInt16,UInt16,UInt32,UInt8,UInt32,UInt8,UInt16,UInt32,UInt8,UInt32,UInt8,UInt16,UInt32,UInt8,UInt32,UInt8,UInt32,UInt32,String,String,String,String,String
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","",""
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","",""
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","",""
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","",""
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","",""
5,0,0,0,0,10,0,0,0,0,11,0,0,0,0,12,0,0,0,0,6710323,111102,"Exploration<hex:021D0103>: analyse de ressources","Depuis l'apparition de la Gemme manquante, l'équilibre élémentaire du Diadème est fortement perturbé, ce qui a entraîné de rares changements environnementaux. Afin d'analyser ce phénomène, nous sommes à la recherche de toute information concernant les ressources présentes dans l'archipel. Mineurs, botanistes et pêcheurs, nous avons besoin de vous<hex:021D0103>! Vous pourrez bien sûr conserver les matériaux récoltés, seules les données nous intéressent.<hex:02100103><hex:02100103>* Récolter des matériaux, participer à des ALÉA et accomplir certaines actions permet de faire monter la jauge d'évaluation.","Ici le centre de commande de la maison Haillenarte.<hex:02100103>Analyse des ressources terminée, mission accomplie.","Merci pour votre col<hex:02160103>la<hex:02160103>bo<hex:02160103>ra<hex:02160103>tion.<hex:02100103>Vous pouvez réclamer votre récompense sur La Bonté.","Vous pouvez désormais entrer dans les failles éthérées pour traverser la dépression éthérée et explorer l'archipel du Diadème librement. Bonne chasse<hex:021D0103>!"
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","",""
