key,0,1
#,ContentTalkParam,Text
offset,4,0
Int32,UInt8,String
0,4,""
1,1,"テスト用トークテキスト1"
2,2,"テスト用トークテキスト2"
3,3,"テスト用トークテキスト3"
4,1,"テスト用トークテキスト4"
5,2,"テスト用トークテキスト5"
20,4,"La guilde des aventuriers m'a chargé de superviser les “opérations de guilde”, des missions difficiles à accomplir par une seule personne. "
21,4,"C'est la première fois que vous entreprenez une opération de guilde<hex:021D0103>? Il s'agit de missions délicates pour lesquelles la coopération de plusieurs personnes est nécessaire. "
22,4,"Ce sont des demandes spéciales émanant d'organismes de la Cité ou encore de particuliers vivant dans les environs. C'est l'occasion idéale de tester l'aptitude des aventuriers à collaborer et coordonner leurs efforts pour accomplir quelque chose ensemble<hex:021D0103>!"
23,4,"Bien sûr, les braves qui se portent volontaires voient leurs efforts récompensés en cas de réussite de la mission. Il y a même un petit plus lorsqu'une mission est accomplie pour la première fois. "
24,4,"La guilde des aventuriers m'a chargé de superviser les “opérations de guilde”, des missions difficiles à accomplir par une seule personne. "
25,4,"Je regrette, mais vous semblez encore manquer d'expérience pour qu'on vous confie une opération. Revenez me voir après un peu plus d'en<hex:02160103>traî<hex:02160103>ne<hex:02160103>ment."
26,4,"Quoi<hex:021D0103>? Nous sommes en pleine mission<hex:021D0103>! Ne me dites pas que vous voulez abandonner et annuler votre par<hex:02160103>ti<hex:02160103>ci<hex:02160103>pa<hex:02160103>tion<hex:021D0103>?"
27,4,"Beau travail. Voici une récompense proportionnelle à vos résultats."
28,4,"Vous avez rempli la mission haut la main. Voici votre récompense, avec un petit extra pour récompenser vos efforts."
29,4,"Hé<hex:021D0103>! Votre sac est plein<hex:021D0103>!"
30,4,"Je distribue les récompenses. Restez ici un moment."
31,4,"Formez les rangs et tenez-vous prêts<hex:021D0103>!"
40,4,"Salutations, aventuri<hex:02080DE905FF05>ère<hex:FF03>er<hex:03>. J'ai pour mission de recruter des volontaires pour des missions par<hex:02160103>ti<hex:02160103>cu<hex:02160103>liè<hex:02160103>res appelées “opérations de guilde”."
41,4,"Je vois que c'est la première fois que vous y participez. Laissez-moi donc vous expliquer en quoi cela consiste."
42,4,"Les opérations de guilde mettent à l'épreuve votre capacité à coopérer avec des équipiers pour surmonter des obstacles relativement difficiles."
43,4,"La tâche est ardue, mais les récompenses en valent la peine. Et vous contribuez en même temps à préserver la sécurité des habitants d'Éorzéa. Alors, qu'en dites-vous<hex:021D0103>?"
