key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
#,,Name,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offset,164,0,4,8,12,16,20,24,28,32,36,60,204,200,64,68,72,168,76,80,172,202,176,180,184,188,84,88,92,96,100,104,108,192,196,112,40,44,48,52,56,116,120,124,128,132,136,140,144,148,152,156,160
Int32,Int32,String,String,String,String,String,String,String,String,String,String,UInt32,UInt8,UInt16,UInt32,UInt32,UInt32,Int32,UInt32,UInt32,Int32,UInt16,Int32,Int32,Int32,Int32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,Int32,Int32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32
0,0,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,"Destruction : la corruption, c'est pas bon","La régulation générée par le cristal central a fait apparaître une grande quantité de cristaux corrompus près de La Pâte brisée. Pilotez un mécano cosmique pour les détruire puis récupérez leurs restes, qui seront utilisés comme matériaux de conversion éthéréenne.","Détruisez les grands cristaux corrompus grâce à l'armement du mécano cosmique.","","","Servez-vous de la cosmoforeuse pour briser les cristaux de petite taille et obtenir des échan<hex:02160103>til<hex:02160103>lons, puis apportez ces derniers à l'un des analyseurs de terrain.","","","Un appel pour une in<hex:02160103>ter<hex:02160103>ven<hex:02160103>tion mécanique vient d'être lancé !<hex:02100103>Les volontaires peuvent postuler au pilotage depuis leur tablette.","L'in<hex:02160103>ter<hex:02160103>ven<hex:02160103>tion mécanique va bientôt débuter.<hex:02100103>Les assistants sont priés de se rassembler dans la zone d'in<hex:02160103>ter<hex:02160103>ven<hex:02160103>tion.",368,5,0,11502159,10921203,11482845,60493,10921201,11482848,60492,600,20172,20171,60809,63889,11759496,6,7,8,0,7,8,1420,1422,1,4259842,4259843,4259844,4259845,4259846,11629602,330,11532641,11532657,11532659,11532660,11532661,296,297,298,299,300
2,0,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,"Nettoyage : champignons pas mignons","Une prolifération de <hex:021A020203>mycena chlorophos<hex:021A020103> a été constatée aux abords de la Champignonnière. Si leurs spores venaient à se répandre sur nos équipements, ce serait une catastrophe. Prenez les commandes d'une déblayeuse cosmique et éradiquez jusqu'au dernier ces vils champignons.","Éliminez les grosses excroissances fongiques grâce à l'armement de la déblayeuse cosmique.","","","Servez-vous du cosmolance-flammes pour brûler les petites excroissances fongiques, puis ramassez leurs cendres et apportez-les à l'un des analyseurs de terrain.","","","Un appel pour une in<hex:02160103>ter<hex:02160103>ven<hex:02160103>tion mécanique vient d'être lancé !<hex:02100103>Les volontaires peuvent postuler au pilotage depuis leur tablette.","L'in<hex:02160103>ter<hex:02160103>ven<hex:02160103>tion mécanique va bientôt débuter.<hex:02100103>Les assistants sont priés de se rassembler dans la zone d'in<hex:02160103>ter<hex:02160103>ven<hex:02160103>tion.",378,5,0,11508987,11170532,11508985,60493,11170531,11508986,60492,600,20173,20171,60809,63889,11759498,9,10,11,0,7,8,1420,1422,5,4259862,4259863,4259864,4259865,4259866,11730314,333,11753130,11753131,11753132,11753133,11753134,301,302,303,304,305
6,3,"Excavation : à la poursuite de la phaennite","Des dépôts souterrains de verre ont été découverts sous les berges de Salpêtre. Extraire ces blocs de <hex:021A020203>phaennite<hex:021A020103> va demander énormément d'énergie. Rechargez votre machine au préalable à l'aide de son électroaspirateur.","Emmagasinez 10 charges ioniques à l'aide de l'électroaspirateur, puis utilisez le rayon extracteur pour extraire les blocs de phaennite.","","","Utilisez votre cosmoforeuse pour extraire des morceaux de phaennite, puis apportez-les à l'un des analyseurs de terrain.","","","Un appel pour une in<hex:02160103>ter<hex:02160103>ven<hex:02160103>tion mécanique vient d'être lancé !<hex:02100103>Les volontaires peuvent postuler au pilotage depuis leur tablette.","L'in<hex:02160103>ter<hex:02160103>ven<hex:02160103>tion mécanique va bientôt débuter.<hex:02100103>Les assistants sont priés de se rassembler dans la zone d'in<hex:02160103>ter<hex:02160103>ven<hex:02160103>tion.",404,5,0,11925434,11841658,11925435,60493,11841657,11925436,60492,600,20173,20171,60809,63889,11911477,12,13,14,0,7,8,1420,1422,6,4259924,4259925,4259926,4259927,4259928,11939517,351,11939469,11939470,11939471,11939472,11939473,339,340,341,342,343
