key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
#,Pet,,,,,Action,LocationKey,Location,,,,,,,,,,,,,,,,,,,
offset,16,24,25,26,12,20,27,22,0,4,8,33,34,35,36,37,38,39,40,41,42,43,28,29,30,31,32
Int32,Int32,UInt8,UInt8,UInt8,UInt32,UInt16,UInt8,UInt16,String,String,String,Bool,Bool,Bool,Bool,Bool,Bool,Bool,Bool,Bool,Bool,Bool,UInt8,UInt8,UInt8,UInt8,UInt8
0,0,0,0,1,0,0,0,0,"","","",False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0
1,47,1,42,3,242001,45187,0,0,"Un animal carnivore originaire du continent d'Ilsabard. Les cu sith peuplaient jadis un vaste territoire de la région de Landis. Hélas, leur nombre a drastiquement chuté sous la domination de l'empire de Garlemald, au point qu'ils sont désormais vus comme des créatures légendaires. Ils sont connus pour le profond attachement qu'ils portent à leurs semblables.","Attaque physique tranchante","6 Attaques physiques tranchantes",False,False,False,False,False,False,False,False,False,False,False,100,91,100,79,100
2,48,1,35,3,242002,48643,1,54,"Un rongeur aux incisives particulièrement développées. Répandus dans le monde entier, les écureuils sont des nuisibles des vergers et des greniers à céréales, mais ils sont néanmoins appréciés de la population, qui les considère comme des serviteurs de Nophica. Ils font d'ailleurs souvent l'objet de peintures ou de sculptures sur bois.","Attaque magique de feu","Hâte aux alliés",False,False,False,False,False,False,False,False,False,False,False,91,100,91,91,91
3,49,1,21,4,242003,45188,1,30,"Domestiqués à l'époque de la grande glaciation, les moutons ont bénéficié d'un élevage sélectif sur de nombreuses générations, devenant de véritables boules de laine sur pattes ainsi que des animaux incontournables de la ferme. Ceux en liberté ayant une clochette autour du cou sont généralement des fugueurs échappés de leur enclos.","Attaque physique contondante","Sommeil + Résistance à Sommeil des alliés augmentée",False,False,False,False,False,False,False,True,False,False,False,82,82,82,82,82
4,50,5,45,2,242004,48648,1,30,"La nature a doté ce poisson d'une poche qu'il peut remplir de gaz pour flotter à quelques ilms du sol, ce qui lui a permis de coloniser les rivages. Il se meut à l'aide de ses grandes nageoires, tandis que sa gueule fine et allongée lui sert à attraper des proies dans les cours d'eau. Très territorial, il ne quitte jamais son terrain de pêche.","Attaque magique d'eau","Vulnérabilité magique des alliés réduite + Résistance à Paralysie augmentée",False,False,False,False,False,False,False,False,False,False,False,100,100,100,100,100
5,52,1,18,3,242005,49696,1,57,"Une espèce de singe vivant dans les régions forestières. Très sociaux, les opo-opo forment des colonies de dizaines d'individus rassemblés autour d'un chef. Du fait de leur intelligence redoutable, ils sont la bête noire des fermiers dont ils chapardent les récoltes... mais de solides alliés pour qui sait les apprivoiser.","Attaque physique contondante","Attaque magique neutre + Paralysie",False,False,True,False,False,False,False,False,False,False,False,97,97,97,97,76
6,53,3,5,2,242006,48647,1,31,"Originaire de l'île de Mazlaya, le dodo est un gros oiseau incapable de voler. Sa chair est comestible – le blanc de dodo est particulièrement savoureux – mais l'animal possède une glande à poison qu'il faut ôter en cas d'élevage. Les dodos ont peu à peu colonisé toutes les régions du monde, formant des lignées aux plumages de couleurs variées.","Attaque magique de terre + Cécité","Résistance à la terre des alliés augmentée + Résistance à Cécité augmentée",False,False,False,False,True,False,False,False,False,False,False,91,91,100,100,100
