key,0,1,2,3,4,5,6
#,,,,,,,
offset,8,12,16,20,24,0,4
Int32,Int32,Int32,Int32,Int32,Int32,String,String
0,0,0,0,0,0,"無効","無効"
1,100,200,300,400,500,"— CHANCE EXCEPTIONNELLE —","Vous allez connaître une chance extraordinaire !!!"
2,1100,1200,1300,1400,1500,"— GRANDE CHANCE —","Vous allez connaître une chance remarquable !"
3,2100,2200,2300,2400,2500,"— CHANCE MOYENNE —","Vous allez connaître une chance satisfaisante."
4,3100,3200,3300,3400,3500,"— PETITE CHANCE —","Vous allez connaître une chance ordinaire."
5,4100,4200,4300,4400,4500,"— MALCHANCE —","Vous allez connaître une certaine malchance."
6,5100,5200,5300,5400,5500,"— GRANDE MALCHANCE —","Vous allez connaître une malchance rare..."
