key,0,1,2,3,4,5,6,7,8,9
#,Name,Icon,,ClassJob,,Level,Quest,Value,ClassJobCategory,
offset,0,8,19,14,15,16,4,12,17,18
Int32,String,Int32,PackedBool0,UInt8,UInt8,UInt8,UInt32,Int16,UInt8,UInt8
0,"",0,False,0,0,0,0,0,0,0
1,"Vitalité améliorée",0,False,0,0,0,0,0,0,0
2,"Vitalité améliorée II",0,False,0,0,0,0,0,0,0
3,"Vitalité améliorée III",0,False,0,0,0,0,0,0,0
4,"Vitalité améliorée",0,False,0,0,0,0,0,0,0
5,"Vitalité améliorée II",0,False,0,0,0,0,0,0,0
6,"Vitalité améliorée III",0,False,0,0,0,0,0,0,0
7,"Force améliorée",0,False,0,0,0,0,0,0,0
8,"Force améliorée II",0,False,0,0,0,0,0,0,0
9,"Force améliorée III",0,False,0,0,0,0,0,0,0
10,"Vitesse de l'éclair améliorée",0,False,0,0,0,0,0,0,0
11,"Vitesse de l'éclair améliorée II",0,False,0,0,0,0,0,0,0
12,"Force améliorée",0,False,0,0,0,0,0,0,0
13,"Force améliorée II",0,False,0,0,0,0,0,0,0
14,"Force améliorée III",0,False,0,0,0,0,0,0,0
15,"Dextérité améliorée",0,False,0,0,0,0,0,0,0
16,"Dextérité améliorée II",0,False,0,0,0,0,0,0,0
17,"Tir à l'arc puissant amélioré",5321,False,5,50,2,0,0,50,0
18,"Dégâts des actions augmentés",5302,False,5,50,20,0,10,50,0
19,"Dextérité améliorée III",0,False,0,0,0,0,0,0,0
20,"Dégâts des actions augmentés II",5303,False,5,50,40,0,20,50,0
21,"Esprit amélioré",0,False,0,0,0,0,0,0,0
22,"Esprit amélioré II",0,False,0,0,0,0,0,0,0
23,"Efficacité des actions augmentée",5185,False,6,53,20,0,10,53,0
24,"Esprit amélioré III",0,False,0,0,0,0,0,0,0
25,"Soin amélioré",5330,False,6,53,32,0,0,53,0
26,"Efficacité des actions augmentée II",5186,False,6,53,40,0,30,53,0
27,"Intelligence améliorée",0,False,0,0,0,0,0,0,0
28,"Intelligence améliorée II",0,False,0,0,0,0,0,0,0
29,"Efficacité éthérée augmentée",5185,False,7,55,20,0,10,55,0
30,"Intelligence améliorée III",0,False,0,0,0,0,0,0,0
31,"Efficacité éthérée augmentée II",5186,False,7,55,40,0,30,55,0
32,"Pyromane",5352,False,7,55,42,0,0,55,0
33,"Nuage d'orage",5355,False,0,0,0,0,0,0,0
34,"Auto Forestier",5451,False,17,18,2,0,0,18,0
35,"Furtivité améliorée",0,False,0,0,0,0,30,0,0
36,"Furtivité améliorée II",0,False,0,0,0,0,40,0,0
37,"Furtivité améliorée III",0,False,0,0,0,0,50,0,0
38,"Auto Prospecteur",5426,False,16,17,2,0,0,17,0
39,"Furtivité améliorée",0,False,0,0,0,0,30,0,0
40,"Furtivité améliorée II",0,False,0,0,0,0,40,0,0
41,"Furtivité améliorée III",0,False,0,0,0,0,50,0,0
42,"Amoureux des arbres",5455,False,17,18,11,0,0,18,0
43,"Amoureux des arbres II",5456,False,17,18,16,0,0,18,0
44,"Amoureux des arbres III",5457,False,17,18,21,0,0,18,0
45,"Amoureux des arbres IV",5458,False,17,18,26,0,0,18,0
46,"Bénédiction des Douze améliorée",5459,False,17,18,41,0,0,18,0
47,"Bénédiction des Douze améliorée II",5460,False,17,18,50,0,0,18,0
48,"Amoureux des pierres",5430,False,16,17,11,0,0,17,0
49,"Amoureux des pierres II",5431,False,16,17,16,0,0,17,0
50,"Amoureux des pierres III",5432,False,16,17,21,0,0,17,0
51,"Amoureux des pierres IV",5433,False,16,17,26,0,0,17,0
52,"Bénédiction des Douze améliorée",5434,False,16,17,41,0,0,17,0
53,"Bénédiction des Douze améliorée II",5435,False,16,17,50,0,0,17,0
