key,0,1,2
#,Icon,SortOrder,Name
offset,4,8,0
Int32,Int32,UInt8,String
0,0,0,""
1,61201,1,"1re cible à attaquer"
2,61202,2,"2e cible à attaquer"
3,61203,3,"3e cible à attaquer"
4,61204,4,"4e cible à attaquer"
5,61205,5,"5e cible à attaquer"
6,61211,9,"1re cible à entraver"
7,61212,10,"2e cible à entraver"
8,61213,11,"3e cible à entraver"
9,61221,12,"1re cible à ignorer"
10,61222,13,"2e cible à ignorer"
11,61231,14,"Carré"
12,61232,15,"Cercle"
13,61233,16,"Croix"
14,61234,17,"Triangle"
15,61206,6,"6e cible à attaquer"
16,61207,7,"7e cible à attaquer"
17,61208,8,"8e cible à attaquer"
