key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,,,,,,,,,,,,,,,
offset,20,28,29,30,31,24,8,12,16,32,32,32,32,0,4
Int32,Int32,UInt8,UInt8,UInt8,UInt8,Int32,String,String,String,PackedBool0,PackedBool1,PackedBool2,PackedBool3,String,String
0,0,0,0,0,0,0,"","","",False,True,True,True,"",""
1,1,4,0,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,True,True,True,"Descente","Appuyez sur le bouton pour descendre<hex:021D0103>!"
2,2,5,23,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,True,True,True,"Esquive","Appuyez sur le bouton pour éviter les obstacles<hex:021D0103>!"
3,3,25,30,3,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",True,False,True,True,"Duel d'armes","Appuyez de façon répétée pour repousser l'arme<hex:021D0103>!"
4,4,0,0,0,0,0,"","","",False,False,True,True,"",""
5,2,5,35,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,True,True,True,"Échappée","Appuyez sur le bouton pour vous libérer<hex:021D0103>!"
6,2,5,10,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,True,True,True,"Échappée","Appuyez sur le bouton pour vous libérer<hex:021D0103>!"
7,3,25,20,2,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",True,False,True,True,"Chevauchée","Appuyez de façon répétée pour vous maintenir<hex:021D0103>!"
8,2,15,45,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",True,False,True,True,"Échappée","Appuyez sur le bouton pour vous libérer<hex:021D0103>!"
