key,0,1,2,3,4,5,6,7,8,9,10
#,Page[0],Page[1],Page[2],Page[3],Page[4],Page[5],Page[6],Page[7],,Name,Description
offset,12,16,20,24,28,32,36,40,8,0,4
Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,UInt32,String,String
0,0,0,0,0,0,0,0,0,5692,"",""
1,1,2,3,4,5,6,0,0,5692,"Front sud de Bozja",""
2,7,8,9,10,11,12,13,14,5692,"Missions<hex:021D0103>: donjons",""
3,15,16,17,18,0,0,0,0,5692,"Donjons à embranchements",""
4,19,20,21,22,0,0,0,0,5692,"Félicité insulaire",""
5,23,0,0,0,0,0,0,0,5696,"Salle des novices",""
6,24,0,0,0,0,0,0,0,5697,"Salle des novices",""
7,25,26,27,28,29,0,0,0,5692,"L'île de Lunule",""
8,31,32,35,33,34,0,0,0,5692,"Exploration cosmique",""
