key,0,1,2
#,BNpcName,Icon,Text
offset,8,4,0
Int32,Int32,UInt32,String
0,0,0,""
1,9379,72611,"Adversaire requis pour test en situation de combat réel. Acquisition en cours..."
2,9409,72612,"Allez, personne pour un petit mano a mano avec moi !?"
3,9384,72613,"Hmpf... Quelqu'un aura-t-il seulement le courage de m'affronter en duel ?"
4,9958,72614,"Re... Recherche des cibles pouvant entraver la mission... A-acquisition en cours..."
5,9695,72615,"Vous voulez ma tête !? Venez la prendre si vous l'osez !"
6,9409,72616,"Bon, y en a pas un ou une qui veut se la donner, là !?"
