key,0,1,2,3
#,ClassSingular,Name,VoiceLine,ClassPlural
offset,12,0,8,4
Int32,String,String,UInt32,String
0,"","",0,""
1,"Academician","Alphinaud",8202013,"Académicien"
2,"Red Mage","Alisaie",8202027,"Mage rouge"
3,"Gunbreaker","Thancred",8202052,"Pistosabreur"
4,"Oracle of Light","Minfilia",8202069,"Prêtresse de la Lumière"
5,"Astrologian","Urianger",8202080,"Astromancien"
6,"Sorceress","Y'shtola",8202110,"Sorcière"
7,"Oracle of Light","Ryne",8202069,"Prêtresse de la Lumière"
8,"Guard Captain","Lyna",8202144,"Capitaine de la garde"
9,"All-Rounder","Exarque du Cristal",8202128,"Prodige universel"
10,"All-Rounder","G'raha Tia",8202346,"Prodige universel"
11,"Sage","Alphinaud",8203013,"Sage"
12,"Dragoon","Estinien",8203064,"Chevalier dragon"
13,"Lithomancer","Urianger",8202092,"Lithomancien"
14,"All-Rounder","Venat",8203122,"Prodige universel"
15,"The Third Seat","Emet-Selch",8203219,"Troisième siège"
16,"Soulseer","Hythlodaeus",8203239,"Scrutateur des âmes"
17,"Marauder","Maraudeur volontaire",0,"Maraudeur"
18,"Lancer","Maître d'hast volontaire",0,"Maître d'hast"
19,"Thaumaturge","Occultiste volontaire",0,"Occultiste"
20,"Conjurer","Élémentaliste volontaire",0,"Élémentaliste"
21,"Marauder","Maraudeur des Héritiers",0,"Maraudeur"
22,"Lancer","Maître d'hast des Héritiers",0,"Maître d'hast"
23,"Thaumaturge","Occultiste des Héritiers",0,"Occultiste"
24,"Conjurer","Élémentaliste des Héritiers",0,"Élémentaliste"
25,"Marauder","Maraudeur du Maelstrom",0,"Maraudeur"
26,"Lancer","Maître d'hast des Deux Vipères",0,"Maître d'hast"
27,"Thaumaturge","Occultiste des Immortels",0,"Occultiste"
28,"Conjurer","Élémentaliste des Deux Vipères",0,"Élémentaliste"
29,"Satrap","Varshahn",8203440,"Satrape"
30,"Oracle of Frost","Ysayle",0,"Cœur-de-glace"
31,"Temple Knight","Chevalier ishgardais",0,"Templier chevalier"
32,"Temple Banneret","Lancier ishgardais",0,"Templier lancier"
33,"Temple Chirurgeon","Chirurgienne ishgardaise",0,"Templière chirurgienne"
34,"Chivalric Knight","Haurchefant",0,"Templier chevalier"
35,"Poroggo","Pero Roggo",0,"Poroggo"
36,"Lord Commander","Aymeric",0,"Capitaine général"
37,"Knight","Chevalier des Fortemps",0,"Chevalier"
38,"Banneret","Lancier des Fortemps",0,"Lancier"
39,"Archer","Archère des Fortemps",0,"Archère"
40,"Archon","Thancred",0,"Héritier"
41,"Memoriate","Zero",8203467,"Manieuse de mémorias"
42,"Archon","Y'shtola",0,"Héritière"
43,"Marauder","Carvallain",0,"Maraudeur"
44,"Pugilist","Lyse",0,"Pugiliste"
45,"Samurai","Gosetsu",0,"Samouraï"
46,"Samurai","Hien",0,"Samouraï"
47,"Shaman","Jeune Mol",0,"Chamane"
48,"Ninja","Yugiri",0,"Ninja"
49,"Samurai","Intrépide de Doma",0,"Samouraï"
50,"Fushi","Prêtre de Doma",0,"Prêtre"
51,"Gladiator","Combattant de l'armée de libération",0,"Gladiateur"
52,"Pikedancer","Piquière de l'armée de libération",0,"Piquière"
53,"Gladiator","Arenvald",0,"Gladiateur"
54,"Pugilist","Lyse",0,"Pugiliste"
55,"Champion Gladiator","Raubahn",0,"Taureau d'Ala Mhigo"
56,"Lancer","J'moldva",0,"Maître d'hast"
57,"Intrepid","Wuk Lamat",8205048,"Guerrière de l'Aurore"
58,"Viper","Zoraal Ja",8205115,"Rôdeur vipère"
59,"Innovator","Koana",8205098,"Innovateur"
60,"Pictomancer","Krile",8205029,"Pictomancienne"
61,"Zoemancer","Sphene",8206020,"Vitaliste"
