key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
#,StageFull,Stage,IndexText2,IndexText,IndexNpc,LodestoneRank,,,,,Thumbnail,,,,,,,,,,,,,,,,
offset,0,4,8,12,16,40,55,36,41,38,20,32,24,28,42,43,44,45,46,47,48,49,50,51,52,53,54
Int32,String,String,String,String,String,UInt8,PackedBool0,UInt16,UInt8,UInt16,UInt32,Int32,UInt32,UInt32,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8
0,"","","","","",0,False,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Campement bêta<hex:021D0103>: coll. matériaux<hex:02100103><hex:024804F2023B03><hex:024904F2023C03>Participez aux missions cosmiques<hex:021D0103>!<hex:0249020103><hex:0248020103>","Campement bêta<hex:021D0103>: collecte des matériaux","Nous avons besoin de matériaux pour agrandir la station<hex:021D0103>! Merci de participer aux missions cosmiques<hex:021D0103>!","Le moment tant attendu est enfin arrivé ! Nous sommes en train de <hex:02100103>réunir les matériaux nécessaires à l'agrandissement de la station !","Searchingway",0,False,158,1,0,241001,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
2,"Campement bêta<hex:021D0103>: préparation<hex:02100103><hex:024804F2023B03><hex:024904F2023C03>Tenez-vous prêts<hex:021D0103>!<hex:0249020103><hex:0248020103>","Campement bêta<hex:021D0103>: préparation du chantier","Un projet d'ouvrage collectif visant à agrandir la station va bientôt commencer<hex:021D0103>! Merci de participer<hex:021D0103>!","Un projet d'ouvrage collectif va bientôt être lancé en vue <hex:02100103>d'agrandir la station ! Venez nous filer un coup de main !","Searchingway",0,False,158,2,0,241001,1451,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
3,"Campement bêta<hex:021D0103>: en cours<hex:02100103><hex:024804F2023B03><hex:024904F2023C03>Participez à l'effort collectif<hex:021D0103>!<hex:0249020103><hex:0248020103>","Campement bêta<hex:021D0103>: chantier en cours","Un projet d'ouvrage collectif visant à agrandir la station est en cours<hex:021D0103>! Merci de participer<hex:021D0103>!","Un projet d'ouvrage collectif vient d'être <hex:02100103>lancé afin d'agrandir la station !","Searchingway",0,False,158,3,0,241001,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
4,"Campement bêta<hex:021D0103>: terminé<hex:02100103><hex:024804F2023B03><hex:024904F2023C03>Quartier libre<hex:021D0103>!<hex:0249020103><hex:0248020103>","Campement bêta<hex:021D0103>: chantier terminé","L'agrandissement de la station est terminé<hex:021D0103>! L'exploration spatiale continue, merci de votre coopération<hex:021D0103>!","L'agrandissement de la station est terminé ! <hex:02100103>Un grand merci à tous les par<hex:02160103>ti<hex:02160103>ci<hex:02160103>pants !","Searchingway",1,False,158,4,0,241002,1406,18,0,6,0,2,3,0,0,0,0,0,0,0,0,0
5,"Cosmo-navette centrale<hex:021D0103>: coll. matériaux<hex:02100103><hex:024804F2023B03><hex:024904F2023C03>Participez aux missions cosmiques<hex:021D0103>!<hex:0249020103><hex:0248020103>","Cosmo-navette centrale<hex:021D0103>: collecte des matériaux","Nous avons besoin de matériaux pour installer un système de navettes<hex:021D0103>! Merci de participer aux missions cosmiques<hex:021D0103>!","Un nouveau système de navettes pour se déplacer à travers la station <hex:02100103>est prévu ! Nous sommes en train de réunir les matériaux nécessaires !","Searchingway",1,False,158,5,0,241003,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
6,"Cosmo-navette centrale<hex:021D0103>: préparation<hex:02100103><hex:024804F2023B03><hex:024904F2023C03>Tenez-vous prêts<hex:021D0103>!<hex:0249020103><hex:0248020103>","Cosmo-navette centrale<hex:021D0103>: préparation du chantier","Un projet d'ouvrage collectif visant à installer un système de navettes va bientôt commencer<hex:021D0103>! Merci de participer<hex:021D0103>!","Un projet d'ouvrage collectif va bientôt être lancé pour la con<hex:02160103>struc<hex:02160103>tion <hex:02100103>de la cosmo-navette centrale ! Venez nous filer un coup de main !","Searchingway",1,False,158,6,0,241003,1451,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
