key,0
#,Text
offset,0
Int32,String
0,""
1,""
2,""
3,""
4,""
5,""
6,""
7,""
8,""
9,""
10,""
11,"Course d'ap<hex:02160103>pren<hex:02160103>tis<hex:02160103>sage"
12,"Route de Sagolii"
13,"Costa del Sol"
14,"Sentes tranquilles"
15,"Tutoriel"
16,"Catégorie débutants"
17,"Catégorie 40"
18,"Catégorie 60"
19,"Catégorie 80"
20,"Catégorie 100"
21,"Catégorie 120"
22,"Catégorie 140"
23,"Catégorie 160"
24,"Catégorie 180"
25,"Catégorie 200"
26,"Catégorie 220"
27,"Catégorie 240"
28,"Catégorie 300"
29,"Catégorie libre"
30,"1er"
31,"2e"
32,"3e"
33,"4e"
34,"5e"
35,"6e"
36,"7e"
37,"8e"
38,"<hex:022818FF13>GoldSaucerTextData<hex:E8030103>　<hex:022818FF13>GoldSaucerTextData<hex:E8020103>"
39,"Progression<hex:021D0103>: <hex:022003E80203>%"
40,"Position<hex:021D0103>: <hex:022903EA0203>"
41,""
42,""
43,""
44,""
45,""
46,""
47,""
48,""
49,""
50,""
51,"Attention, fragile"
52,"Vases livrés"
53,""
54,""
55,""
56,""
57,""
58,""
59,""
60,""
61,"Voulez-vous danser<hex:021D0103>?"
62,"Montez sur scène et exécutez les pas de danse adéquats pour briller lors de la repré<hex:02160103>sen<hex:02160103>ta<hex:02160103>tion<hex:021D0103>!"
63,"Mémorisez plus de dix emotes et effectuez-les dans le bon ordre pour devenir la nouvelle étoile<hex:021D0103>!"
64,"Série d'emotes n°1"
65,"Série d'emotes n°2"
66,"Série d'emotes n°3"
67,"Série d'emotes n°4"
68,"Nombre d'emotes réussies"
69,""
70,""
71,"Un sacré courant d'air"
72,"Le souffle de maître Typhon balaye tout sur son passage<hex:021D0103>! Parviendrez-vous à éviter les rafales et à vous maintenir sur la scène<hex:021D0103>?"
73,"Anticipez les endroits où maître Typhon va souffler et restez sur scène jusqu'à la fin de la tempête<hex:021D0103>!"
74,"Rafales évitées"
75,""
76,""
77,""
78,""
79,""
80,""
81,"Sus à l'imp-osteur"
82,"Un imp malicieux s'est transformé en client du Gold Saucer<hex:021D0103>! Trouvez son sosie parfait au sein de la foule et démasquez l'imp à l'aide d'une boule puante<hex:021D0103>!"
83,""
84,""
85,""
86,""
87,""
88,""
89,""
90,""
91,"Mascotte en détresse"
92,""
93,""
94,""
95,""
96,""
97,""
98,""
99,""
100,""
101,"Jouer au Mini Cactpot"
102,""
103,""
104,"<hex:022818FF13>GoldSaucerTextData<hex:E8020103> <hex:020820E1E80301FF18>[Cote <hex:022003E80303> à <hex:022003E80403>]<hex:FF01><hex:03>"
105,"<hex:022818FF13>GoldSaucerTextData<hex:E8020103>"
106,"<hex:02281AFF15>ChocoboRaceChallenge<hex:E8020103> <hex:02081EE1E80301FF16>[Cote <hex:022003E80303> ou plus]<hex:FF01><hex:03>"
107,""
108,""
109,""
110,"Bienvenue dans le tutoriel<hex:021D0103>!♪"
111,"Accomplissez les objectifs<hex:021D0103>!"
112,"Fé<hex:02160103>li<hex:02160103>ci<hex:02160103>ta<hex:02160103>tions<hex:021D0103>!"
113,"???"
114,"Accélérer"
115,"Accélérer jusqu'à épuisement"
116,"Accélérer jusqu'à emballement puis ralentir"
117,"Se déplacer de gauche à droite"
118,"Fouler une case magique"
119,"Sauter"
120,"Toucher un coffre au trésor"
121,"Utiliser un objet de course"
122,""
123,""
124,""
125,""
126,""
127,""
128,""
129,""
130,""
131,"Laissez-moi vous rappeler rapidement les règles. Vous devez d'abord gratter trois cases, ce qui vous permettra de connaître l'emplacement de quatre chiffres sur la grille."
132,"Parfait. Maintenant, vous devez choisir une ligne en fonction de la somme des chiffres estimée sur cette dernière. Vous remporterez le nombre de points du Gold Saucer indiqué à droite de la grille et correspondant au score obtenu."
133,"Je vous rappelle brièvement les règles<hex:021D0103>: tout ce que vous avez à faire, c'est choisir quatre chiffres et patienter jusqu'au tirage au sort. Plus vous aurez de chiffres en commun avec notre numéro, des unités vers les milliers, plus la récompense sera conséquente. C'est aussi simple que ça<hex:021D0103>!"
134,""
135,""
136,""
137,""
138,""
139,"Challenge de performance"
140,"Challenge 1"
141,"Challenge 2"
142,"Challenge 3"
143,"Challenge 4"
144,"Challenge 5"
145,"Challenge 6"
146,"Challenge 7"
147,"Challenge 8"
148,"Challenge 9"
149,"Challenge 10"
150,"Challenge 11"
151,"Challenge 12"
152,"Challenge 13"
153,"Challenge 14"
154,"Challenge 15"
155,""
156,""
157,""
158,""
159,""
160,""
161,"Haute voltige"
162,""
163,""
164,""
165,""
166,""
167,""
168,""
169,""
170,""
171,"As de l'air"
172,""
173,""
174,""
175,""
176,""
177,""
178,""
179,""
180,""
181,"La coupe est pleine"
182,"Attaques évitées"
183,"PGS obtenus"
184,"Évitez les attaques de Yojimbo pour rester sur la scène et gagner des PGS<hex:021D0103>!"
185,"Préparez-vous à être aveuglé<hex:020808E905FF02>e<hex:FF01><hex:03> par les attaques éclair de Yojimbo<hex:021D0103>!"
186,""
187,""
188,""
189,""
190,""
