key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talk[0],Talk[1],Talk[2],Talk[3],Talk[4],Talk[5],Talk[6],Talk[7]
offset,11,23,35,47,59,8,20,32,44,56,0,12,24,36,48,9,21,33,45,57,10,22,34,46,58,4,16,28,40,52,60,64,68,72,76,80,84,88
Int32,PackedBool0,PackedBool0,PackedBool0,PackedBool0,PackedBool0,UInt8,UInt8,UInt8,UInt8,UInt8,UInt32,UInt32,UInt32,UInt32,UInt32,Int8,Int8,Int8,Int8,Int8,Int8,Int8,Int8,Int8,Int8,Int32,Int32,Int32,Int32,Int32,String,String,String,String,String,String,String,String
0,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
1,False,False,False,False,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,"Salut<hex:021D0103>! Tu veux un mandat<hex:021D0103>?","Hum, tu débutes à peine, je me trompe<hex:021D0103>? Reviens quand tu auras un peu plus d'expérience, d'accord<hex:021D0103>?","Bon courage<hex:021D0103>! J'espère que tout se passera bien.","Rien.","Voilà la récompense<hex:021D0103>!","0","0","0"
2,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Bonjour. Souhaitez-vous obtenir un mandat<hex:021D0103>? Je vais vous aider à trouver un travail qui corresponde à vos aptitudes.","Ici, nous proposons des mandats aux aventuriers rattachés à la guilde. Quand vous aurez assez d'expérience pour <hex:02092BE802FF0D>que T'mokkri<hex:FF0D>que Gontrant<hex:FF0B>qu'Eustace<hex:03> vous donne des au<hex:02160103>to<hex:02160103>ri<hex:02160103>sa<hex:02160103>tions, alors je vous trouverai du travail.","Tout est en règle, vous pouvez y aller. J'espère que la chance vous sourira.","Ici, nous proposons des mandats aux aventuriers rattachés à la guilde. Quand vous aurez assez d'expérience pour <hex:02092BE802FF0D>que T'mokkri<hex:FF0D>que Gontrant<hex:FF0B>qu'Eustace<hex:03> vous donne des au<hex:02160103>to<hex:02160103>ri<hex:02160103>sa<hex:02160103>tions, alors je vous trouverai du travail.","Vous avez terminé le travail sans encombres, à ce que je vois. J'ai bien fait de vous confier cette mission. Tenez, prenez votre récompense.","0","0","Vous avez abattu une créature dont la tête était mise à prix, vous dites<hex:021D0103>!? Eh bien, ça alors... Bien sûr, cela mérite une récompense sup<hex:02160103>plé<hex:02160103>men<hex:02160103>tai<hex:02160103>re. Voilà<hex:021D0103>!"
3,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Bonjour, nous émettons des mandats destinés aux aventuriers en fonction des tâches que l'on nous confie.","Vous cherchez du travail<hex:021D0103>? Ici, nous proposons des mandats aux aventuriers rattachés à la guilde. Quand <hex:02091DE802FF08>Baderon<hex:FF08>Miounne<hex:FF07>Momodi<hex:03> vous recommandera, je vous trouverai du travail.","Et voilà<hex:021D0103>! Je vous souhaite bonne chance, à présent.","Vous cherchez du travail<hex:021D0103>? Ici, nous proposons des mandats aux aventuriers rattachés à la guilde. Quand vous aurez suf<hex:02160103>fi<hex:02160103>sam<hex:02160103>ment progressé pour vaincre les monstres du coin, je vous trouverai du travail.","Vous venez rendre compte de votre mission, très bien. Voici votre récompense... Le client sera satisfait, c'est certain<hex:021D0103>!","0","0","Vous avez abattu une créature dont la tête était mise à prix, vous dites<hex:021D0103>? Mes félicitations<hex:021D0103>! Tenez, voici la prime promise. En espérant que vous en ferez bon usage."
4,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Salut<hex:021D0103>! Les mandats t'intéressent<hex:021D0103>? Je peux te trouver des boulots in<hex:02160103>té<hex:02160103>res<hex:02160103>sants<hex:021D0103>!","Je fais partie de la guilde des aventuriers, et je propose des mandats aux membres qui sont assez forts. Quand tu auras la re<hex:02160103>com<hex:02160103>man<hex:02160103>da<hex:02160103>tion de <hex:02091DE802FF08>Baderon<hex:FF08>Miounne<hex:FF07>Momodi<hex:03>, je te trouverai quelque chose.","Bon courage. J'attendrai ton retour<hex:021D0103>!","Je fais partie de la guilde des aventuriers, et je propose des mandats aux membres qui sont assez forts. Quand tu auras suf<hex:02160103>fi<hex:02160103>sam<hex:02160103>ment progressé pour vaincre les monstres du coin, je te trouverai quelque chose.","Ah, tu as déjà fini<hex:021D0103>? Très bien, très bien, n'hésite pas à revenir quand tu auras du temps libre<hex:021D0103>!","0","0","Quoi<hex:021D0103>!? Tu as abattu un monstre dont la tête était mise à prix, tu dis<hex:021D0103>? Mais c'est formidable<hex:021D0103>! Tiens, tu as bien mérité ta récompense<hex:021D0103>!"
5,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Bonjour, nous émettons des mandats destinés aux aventuriers en fonction des tâches qui nous parviennent des quatre coins de la forêt.","Vous êtes au guichet des mandats, où nous proposons aux aventuriers des tâches adaptées à leur capacités. Si <hex:02091DE802FF08>Baderon<hex:FF08>Miounne<hex:FF07>Momodi<hex:03> vous recommande, je vous donnerai du travail avec joie.","Bon courage. J'attendrai votre retour<hex:021D0103>!","Vous êtes au guichet des mandats, où nous proposons aux aventuriers des tâches adaptées à leurs capacités. Si <hex:02091DE802FF08>Baderon<hex:FF08>Miounne<hex:FF07>Momodi<hex:03> vous recommande, je vous donnerai du travail avec joie.","Ah, vous avez rempli votre mission<hex:021D0103>! Parfait, beau travail. Voici la récompense, comme promis.","0","0","Vous êtes venu<hex:020808E905FF02>e<hex:FF01><hex:03> à bout d'un monstre dont la tête était mise à prix<hex:021D0103>!? Merci infiniment<hex:021D0103>! Grâce à vous, la forêt de Sombrelinceul sera un peu moins dangereuse. Tenez, votre récompense..."
6,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Salut<hex:021D0103>! Si tu cherches des mandats, tu es au bon endrrroit.","Ce que je fais ici<hex:021D0103>? Eh bien, je propose des mandats aux aven<hex:02160103>tu<hex:02160103>rrriers rattachés à la guilde. Le travail ne manque pas en ce moment, d'ailleurs ton aide serait la bienvenue. Hélas, tu manques encore un peu d'expérience pour cela... Reviens me voir quand <hex:02091DE802FF08>Baderon<hex:FF08>Miounne<hex:FF07>Momodi<hex:03> t'aurrra donné son aval et je m'occuperai de toi.","Bonne chance, et sois prrrudent<hex:020808E905FF02>e<hex:FF01><hex:03><hex:021D0103>!","Ce que je fais ici<hex:021D0103>? Eh bien, je propose des mandats aux aven<hex:02160103>tu<hex:02160103>rrriers rattachés à la guilde. Le travail ne manque pas en ce moment, d'ailleurs ton aide serait la bienvenue. Hélas, tu manques encore un peu d'expérience pour cela... Il faut que tu progresses encore et que tu deviennes suf<hex:02160103>fi<hex:02160103>sam<hex:02160103>ment fort<hex:020808E905FF02>e<hex:FF01><hex:03> pour abattre les monstres qui rôdent autourrr de Limsa Lominsa<hex:021D0103>; sinon je ne donne pas cher de ta peau.","Tu as fini<hex:021D0103>? Bien, bien, bien... Voilà ta récompense. Le client sera rrravi, j'en suis sûre<hex:021D0103>!","0","0","Ça y est, tu as rempli ta mission<hex:021D0103>? Quoi<hex:021D0103>? Tu as abattu un monstre dont la tête était mise à prix<hex:021D0103>!? Mais c'est forrrmidable<hex:021D0103>! Tu mérites une récompense sup<hex:02160103>plé<hex:02160103>men<hex:02160103>tai<hex:02160103>re."
