key,0,1
#,Icon,Name
offset,4,0
Int32,UInt32,String
0,0,""
1,1,"テストテストテスト"
2,60033,"Vent éthéré"
3,60031,"Actions de collectionnables"
4,60032,"Actions de spécialiste"
5,25948,"Boussole éthéréenne"
6,26995,"Médallium des Yo-kai"
7,25987,"Aventures imaginaires de Khloe"
8,60039,"Pêche au harpon"
9,26113,"???"
10,26003,"Cristal de paladin"
11,26004,"Cristal de moine"
12,26005,"Cristal de guerrier"
13,26006,"Cristal de chevalier dragon"
14,26007,"Cristal de barde"
15,26008,"Cristal de mage blanc"
16,26009,"Cristal de mage noir"
17,60044,"???"
