key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
#,Name,Description,Icon,ExclusionGroup,MaxStacks,ClassJobCategory,StatusCategory,HitEffect,VFX,LockMovement,,LockActions,LockControl,Transfiguration,IsGaze,CanDispel,,InflictedByActor,IsPermanent,PartyListPriority,CanIncreaseRewards,NoLogVfx,,ParamModifier,ParamEffect,CanStatusOff,Log,IsFcBuff,,Invisibility,TargetType,Flags,Flag2,,,,
offset,0,4,8,20,21,22,23,24,16,33,33,33,33,33,33,33,33,34,34,25,26,34,34,12,27,34,18,34,32,34,28,29,30,34,35,35,31
Int32,String,String,UInt32,UInt8,UInt8,UInt8,UInt8,UInt8,UInt16,PackedBool0,PackedBool1,PackedBool2,PackedBool3,PackedBool4,PackedBool5,PackedBool6,PackedBool7,PackedBool0,PackedBool1,UInt8,UInt8,PackedBool2,PackedBool3,Int32,UInt8,PackedBool4,UInt16,PackedBool5,Int8,PackedBool6,UInt8,UInt8,UInt8,PackedBool7,PackedBool0,PackedBool1,UInt8
0,"","",0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,0,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
1,"Pétrification","Une rigidité semblable à celle de la pierre empêche toute action.",215001,85,0,1,2,6,1,True,False,True,False,False,False,False,False,False,False,100,0,False,False,0,0,False,0,False,0,False,0,32,0,True,False,False,0
2,"Étourdissement","Toute action est impossible.",215004,0,0,1,2,3,2,True,False,True,False,False,False,True,False,False,False,100,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
3,"Sommeil","Le sommeil empêche toute action.",215013,1,0,1,2,2,3,True,False,True,False,False,False,True,False,False,False,100,0,False,False,0,0,False,0,False,0,False,0,3,0,True,False,False,0
4,"Évanouissement","Une perte momentanée de conscience empêche toute action.",215003,1,0,1,2,8,0,True,False,True,False,False,False,False,False,False,False,100,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
5,"Amnésie","L'utilisation d'aptitudes est impossible.",215015,0,0,1,2,15,0,False,False,False,False,False,False,True,False,False,False,100,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
6,"Pacification","L'utilisation de techniques d'arme est impossible.",215017,0,0,1,2,14,0,False,False,False,False,False,False,True,False,False,False,100,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
7,"Silence","Le lancement de sorts est impossible.",215005,2,0,1,2,7,0,False,False,False,False,False,False,True,False,False,False,100,0,False,False,0,0,False,0,False,0,False,0,22,0,False,False,False,0
8,"Hâte","La vitesse des attaques automatiques est augmentée, et les temps de lancement et de recharge des sorts et des techniques d'arme sont réduits.",215008,5,0,1,1,16,0,False,False,False,False,False,False,False,True,False,False,1,0,False,False,-15,0,False,0,False,0,False,0,0,0,False,False,False,0
9,"Lenteur","La vitesse des attaques automatiques est réduite, et les temps de lancement et de recharge des sorts et des techniques d'arme sont allongés.",215009,5,0,1,2,13,0,False,False,False,False,False,False,True,False,False,False,50,0,False,False,15,0,False,0,False,0,False,0,0,0,False,False,False,0
10,"Lenteur","Les mouvements sont gênés par une constriction. La vitesse des attaques automatiques est réduite, et les temps de lancement et de recharge des sorts et des techniques d'arme sont allongés.",215545,5,0,1,2,13,0,False,False,False,False,False,False,True,False,True,True,50,0,False,False,20,0,False,0,False,0,False,0,0,0,False,False,False,0
11,"Confusion","La folie fait attaquer les alliés à la place des ennemis.",215603,64,0,1,2,17,0,False,False,False,True,False,True,False,False,False,False,100,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
12,"Lévitation","Le corps flotte à quelques ilms du sol, défiant la loi de la gravité.",215037,0,0,1,1,16,4,False,False,False,False,False,False,False,True,True,True,1,0,False,False,0,0,False,0,False,0,False,0,49,0,False,False,False,0
13,"Entrave","Tout déplacement est impossible.",215003,3,0,1,2,12,5,True,False,False,False,False,False,True,False,False,False,100,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
14,"Pesanteur","La vitesse de déplacement est réduite.",215002,3,0,1,2,4,6,False,False,False,False,False,False,True,False,False,False,100,0,False,False,0,1,False,0,False,0,False,0,0,0,False,False,False,0
15,"Cécité","Un voile d'obscurité diminue la précision.",215012,4,0,1,2,10,0,False,False,False,False,False,False,True,False,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
16,"","",0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,0,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
17,"Paralysie","Une paralysie empêche parfois d'effectuer des actions.",215006,0,0,1,2,5,0,False,False,False,False,False,False,True,False,False,False,100,0,False,False,33,0,False,0,False,0,False,0,0,0,False,False,False,0
18,"Poison","Des dégâts périodiques de poison sont subis.",215007,0,0,1,2,1,0,False,False,False,False,False,False,True,False,False,False,10,0,False,True,10,0,False,0,False,5,False,0,0,0,False,False,False,0
19,"Poison violent","Des dégâts périodiques de poison sont subis.",215517,0,0,1,2,1,0,False,False,False,False,False,False,False,False,True,True,10,0,False,True,100,0,False,0,False,5,False,0,0,0,False,False,False,0
20,"Saignée de PT","Perd des PT périodiquement.",215025,0,0,1,2,17,0,False,False,False,False,False,False,True,False,False,False,10,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
21,"Bonus de PV","Les PV maximums sont augmentés.",215075,6,0,1,1,16,0,False,False,False,False,False,False,False,True,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
22,"Malus de PV","Les PV maximums sont réduits.",215076,6,0,1,2,17,0,False,False,False,False,False,False,True,False,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
23,"Bonus de PM","Les PM maximums sont augmentés.",215077,7,0,1,1,16,0,False,False,False,False,False,False,False,True,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
24,"Malus de PM","Les PM maximums sont réduits.",215078,7,0,1,2,17,0,False,False,False,False,False,False,True,False,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
25,"Bonus d'attaque","L'attaque est augmentée.",215050,8,0,1,1,16,0,False,False,False,False,False,False,False,True,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
26,"Malus d'attaque","L'attaque est réduite.",215051,8,0,1,2,17,0,False,False,False,False,False,False,True,False,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
27,"Bonus de précision","La précision est augmentée.",215060,9,0,1,1,16,0,False,False,False,False,False,False,False,True,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
28,"Malus de précision","La précision est réduite.",215061,9,0,1,2,17,0,False,False,False,False,False,False,True,False,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
29,"Bonus de défense","La défense est augmentée.",215052,10,0,1,1,16,0,False,False,False,False,False,False,False,True,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
30,"Malus de défense","La défense est réduite.",215053,10,0,1,2,17,0,False,False,False,False,False,False,True,False,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
31,"Bonus d'esquive","L'esquive est augmentée.",215062,11,0,1,1,16,0,False,False,False,False,False,False,False,True,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
32,"Malus d'esquive","L'esquive est réduite.",215063,11,0,1,2,17,0,False,False,False,False,False,False,True,False,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
33,"Bonus de puissance magique","La puissance magique est augmentée.",215054,12,0,1,1,16,0,False,False,False,False,False,False,False,True,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
34,"Malus de puissance magique","La puissance magique est réduite.",215055,12,0,1,2,17,0,False,False,False,False,False,False,True,False,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
35,"Bonus de magie curative","La magie curative est augmentée.",215058,13,0,1,1,16,0,False,False,False,False,False,False,False,True,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
36,"Malus de magie curative","La magie curative est réduite.",215059,13,0,1,2,17,0,False,False,False,False,False,False,True,False,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
37,"Bonus de défense magique","La défense magique est augmentée.",215056,14,0,1,1,16,0,False,False,False,False,False,False,False,True,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
38,"Malus de défense magique","La défense magique est réduite.",215057,14,0,1,2,17,0,False,False,False,False,False,False,True,False,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
39,"Résistance à Étourdissement","Étourdissement n'a aucun effet.",215566,0,0,1,1,16,0,False,False,False,False,False,False,False,False,True,True,100,0,False,False,100,0,False,0,False,0,False,0,0,0,False,False,False,0
40,"Résistance à Silence","Silence n'a aucun effet.",215567,0,0,1,1,16,0,False,False,False,False,False,False,False,False,True,True,100,0,False,False,100,0,False,0,False,0,False,0,0,0,False,False,False,0
41,"Installation d'artisanat","La synthèse est facilitée par l'utilisation d'une installation. Les artisans de niveau 90 ou moins voient leurs PS maximums augmentés.",216107,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,False,0,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
42,"L'Écho","Les PV maximums, les dégâts infligés et le potentiel curatif des soins prodigués par la cible de cet effet sont augmentés.",216207,0,0,1,1,16,0,False,False,False,False,False,False,False,False,True,True,0,0,False,False,15,0,False,0,False,0,False,0,0,0,False,False,False,0
43,"Affaiblissement","La force, la dextérité, l'in<hex:02160103>tel<hex:02160103>li<hex:02160103>gence et l'esprit sont réduits de 25%.",215010,16,0,1,2,0,0,False,False,False,False,False,False,False,False,False,False,100,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
44,"Mourant","La force, la dextérité, l'in<hex:02160103>tel<hex:02160103>li<hex:02160103>gence et l'esprit sont réduits de 50%.",215011,16,0,1,2,0,0,False,False,False,False,False,False,False,False,False,False,100,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
45,"Grâce de l'artisan","Les chances de gains de points d'expérience en tant qu'artisan sont augmentées.",216106,15,0,1,1,16,0,False,False,False,False,False,False,False,False,False,False,0,1,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
46,"Grâce du récolteur","Les chances de gains de points d'expérience en tant que récolteur sont augmentées.",216006,15,0,1,1,16,0,False,False,False,False,False,False,False,False,False,False,0,1,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
47,"Discrétion","Se déplace silencieusement et ne peut pas être détecté<hex:020808E905FF02>e<hex:FF01><hex:03> par les ennemis jusqu'à 4 niveaux au-dessus du sien.",216015,0,0,1,1,16,138,False,False,False,False,False,False,False,False,True,True,2,0,False,False,0,0,False,0,False,0,False,0,36,0,False,False,False,0
48,"Repu","Sous l'effet d'un repas.",216202,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,False,0,1,False,False,1,0,False,0,False,0,False,0,0,0,False,False,False,0
49,"Médicamenté","Les ca<hex:02160103>rac<hex:02160103>té<hex:02160103>ris<hex:02160103>ti<hex:02160103>ques sont augmentées sous l'effet d'un médicament.",216203,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,False,0,0,False,False,2,0,False,0,False,0,False,0,0,0,False,False,False,0
50,"Sprint","La vitesse de déplacement est augmentée.",210101,41,0,1,1,0,0,False,False,False,False,False,False,False,False,False,False,0,0,False,False,0,18,False,0,False,0,False,0,6,0,False,False,False,0
51,"Malus de force","La force est réduite.",215080,0,0,1,2,17,0,False,False,False,False,False,False,True,False,False,False,50,0,False,False,-5,0,False,0,False,0,False,0,0,0,False,False,False,0
52,"Malus de vitalité","La vitalité est réduite.",215082,0,0,1,2,17,0,False,False,False,False,False,False,True,False,False,False,50,0,False,False,-5,0,False,0,False,0,False,0,0,0,False,False,False,0
53,"Bonus de dégâts physiques","Les dégâts physiques infligés sont augmentés.",215050,35,0,1,1,16,0,False,False,False,False,False,False,False,True,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
54,"Malus de dégâts physiques","Les dégâts physiques infligés sont réduits.",215051,35,0,1,2,17,0,False,False,False,False,False,False,True,False,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
55,"Vulnérabilité physique diminuée","Les dégâts physiques reçus sont réduits.",215052,36,0,1,1,16,0,False,False,False,False,False,False,False,True,False,False,1,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
56,"Vulnérabilité physique augmentée","Les dégâts physiques reçus sont augmentés.",215053,36,0,1,2,17,0,False,False,False,False,False,False,True,False,False,False,50,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
57,"Bonus de dégâts magiques","Les dégâts magiques infligés sont augmentés.",215054,37,0,1,1,16,0,False,False,False,False,False,False,False,True,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
58,"Malus de dégâts magiques","Les dégâts magiques infligés sont réduits.",215055,37,0,1,2,17,0,False,False,False,False,False,False,True,False,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
59,"Vulnérabilité magique diminuée","Les dégâts magiques reçus sont réduits.",215056,38,0,1,1,16,0,False,False,False,False,False,False,False,True,False,False,1,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
60,"Vulnérabilité magique augmentée","Les dégâts magiques reçus sont augmentés.",215057,38,0,1,2,17,0,False,False,False,False,False,False,True,False,False,False,50,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
61,"Bonus de dégâts","Les dégâts infligés sont augmentés.",215519,39,0,1,1,16,0,False,False,False,False,False,False,False,True,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
62,"Malus de dégâts","Les dégâts infligés sont réduits.",215520,39,0,1,2,17,0,False,False,False,False,False,False,True,False,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
63,"Vulnérabilité diminuée","Les dégâts reçus sont réduits.",215021,40,0,1,1,16,0,False,False,False,False,False,False,False,True,False,False,1,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
