key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
#,Model,AttachmentPoint,,,Action,Order,Icon,Transient,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article
offset,16,26,27,28,18,24,20,22,0,8,4,9,10,11,12,13
Int32,UInt16,UInt8,UInt8,UInt8,UInt16,Int16,UInt16,UInt16,String,Int8,String,Int8,Int8,Int8,Int8,Int8
0,0,0,0,0,0,-1,0,0,"",0,"",0,0,1,0,0
1,2939,1,1,1,2,0,8001,1,"Ombrelle",0,"Ombrelles",0,1,1,1,0
2,2940,1,1,1,2,1,8002,2,"Ombrelle d'azur",0,"Ombrelles d'azur",0,1,1,1,0
3,3007,1,1,1,2,2,8003,3,"Parapluie pourpre laqué",0,"Parapluies pourpres laqués",0,0,1,0,0
4,3008,1,1,1,2,3,8004,4,"Parapluie mauve laqué",0,"Parapluies mauves laqués",0,0,1,0,0
5,3009,1,1,1,2,4,8005,5,"Parapluie doré laqué",0,"Parapluies dorés laqués",0,0,1,0,0
6,3010,1,1,1,2,5,8006,6,"Ombrelle à carreaux bleue",0,"Ombrelles à carreaux bleues",0,1,1,1,0
7,3011,1,1,1,2,6,8007,7,"Ombrelle à carreaux rouge",0,"Ombrelles à carreaux rouges",0,1,1,1,0
8,3012,1,1,1,2,7,8008,8,"Ombrelle à carreaux noire",0,"Ombrelles à carreaux noires",0,1,1,1,0
9,3042,2,0,2,0,8,8013,100,"Ailes angéliques",0,"Ailes angéliques",0,1,1,1,0
10,3169,1,1,1,2,9,8012,9,"Ombrelle du Gold Saucer",0,"Ombrelles du Gold Saucer",0,1,1,1,0
11,3166,1,1,1,2,10,8009,10,"Ombrelle bleue à pois",0,"Ombrelles bleue à pois",0,1,1,1,0
12,3167,1,1,1,2,11,8010,11,"Ombrelle rose à pois",0,"Ombrelles rose à pois",0,1,1,1,0
13,3168,1,1,1,2,12,8011,12,"Ombrelle vert d'eau à pois",0,"Ombrelles vert d'eau à pois",0,1,1,1,0
14,3286,1,1,1,2,13,8014,13,"Ombrelle gros minou",0,"Ombrelles gros minou",0,1,1,1,0
15,3287,1,1,1,2,14,8015,14,"Parapluie Serpent marin de Ronka ?",0,"Parapluies Serpent marin de Ronka ?",0,0,1,0,0
16,3288,1,1,1,2,15,8016,15,"Parapluie Dalamud",0,"Parapluie Dalamud",0,0,1,0,0
17,3426,2,0,2,0,16,8017,100,"Ailes d'ange déchu",0,"Ailes d'ange déchu",0,1,1,1,0
18,3427,2,0,2,0,17,8018,100,"Ailes d'archange",0,"Ailes d'archange",0,1,1,1,0
19,3428,3,0,2,0,18,8019,101,"Ailes de Diabolos",0,"Ailes de Diabolos",0,1,1,1,0
20,3429,6,0,2,0,19,8020,102,"Ailes de Pixie",0,"Ailes de Pixie",0,1,1,1,0
21,0,0,0,0,0,0,0,0,"",0,"",0,0,0,0,0
22,3431,5,0,2,0,21,786,200,"Mirage de lunettes ovales",0,"Mirages de lunettes ovales",0,0,1,0,0
23,3611,1,1,1,2,22,8023,16,"Ombrelle à collerette blanche",0,"Ombrelles à collerette blanche",0,1,1,1,0
24,3612,1,1,1,2,23,8024,17,"Ombrelle à fleurs bleues",0,"Ombrelles à fleurs bleues",0,1,1,1,0
25,3613,5,0,2,0,24,786,201,"Mirage de lunettes teintées",0,"Mirages de lunettes teintées",0,0,1,0,0
26,3614,7,0,2,0,25,786,202,"Mirage de lunettes classiques",0,"Mirages de lunettes classiques",0,0,1,0,0
27,3701,1,1,1,2,26,8027,18,"Ombrelle pampa",0,"Ombrelles pampa",0,1,1,1,0
28,3702,6,0,2,0,27,8028,102,"Ailes de Pixie bleues",0,"Ailes de Pixie bleues",0,1,1,1,0
29,0,0,0,0,0,0,0,0,"",0,"",0,0,0,0,0
30,3815,1,1,1,2,28,8029,19,"Parapluie Chamoiselle",0,"Parapluies Chamoiselle",0,0,1,0,0
31,3816,1,1,1,2,29,8030,20,"Système de protection anti-gouttes",0,"Systèmes de protection anti-gouttes",0,0,1,0,0
32,3884,8,0,2,0,30,786,203,"Mirage de lunettes roses",0,"Mirages de lunettes roses",0,0,1,0,0
33,3885,1,1,1,2,31,8031,22,"Parapluie Tsukumogami",0,"Parapluies Tsukumogami",0,0,1,0,0
34,3886,1,1,1,2,32,8032,21,"Parapluie Bernartisan",0,"Parapluies Bernartisan",0,0,1,0,0
35,3928,9,0,2,0,33,8037,300,"Sac d'explorateur",0,"Sacs d'explorateur",0,0,1,0,0
36,4016,6,0,2,0,34,8034,103,"Ailes de Statice",0,"Ailes de Statice",0,1,1,1,0
37,4017,1,1,1,2,35,8035,24,"Parapluie feuille",0,"Parapluies feuille",0,0,1,0,0
38,4018,1,1,1,2,36,8036,23,"Ombrelle carotte",0,"Ombrelles carotte",0,1,1,1,0
39,4240,1,1,1,2,37,8038,25,"Ombrelle à néons",0,"Ombrelles à néons",0,1,1,1,0
40,4241,1,1,1,2,38,8039,26,"Ombrelle à rubans",0,"Ombrelles à rubans",0,1,1,1,0
41,4242,1,1,1,2,39,8040,27,"Ombrelle bombo",0,"Ombrelles bombo",0,1,1,1,0
42,4406,1,1,1,2,40,8041,28,"Ombrelle mandragore",0,"Ombrelles mandragore",0,1,1,1,0
43,4407,1,1,1,2,41,8042,29,"Paraplœuf",0,"Paraplœufs",0,0,1,0,0
44,4408,9,0,2,0,42,8043,301,"Sac de voyage pelupelu",0,"Sacs de voyage pelupelu",0,0,1,0,0
45,4512,1,1,1,2,43,8044,30,"Ombrelle à dentelles noire",0,"Ombrelles à dentelles noires",0,1,1,1,0
46,4511,1,1,1,2,44,8045,31,"Ombrelle à dentelles blanche",0,"Ombrelles à dentelles blanches",0,1,1,1,0
47,4513,1,1,1,2,45,8046,32,"Ombrelle loporrite",0,"Ombrelles loporrites",0,1,1,1,0
48,4577,10,2,0,3,46,8047,400,"Torche",0,"Torches",0,0,1,1,0
49,4677,1,1,1,2,47,8048,33,"Ombrelle Mizutsune Felyne",0,"Ombrelles Mizutsune Felyne",0,1,1,1,0
50,4678,1,1,1,2,48,8049,34,"Ombrelle pixie",0,"Ombrelles pixies",0,1,1,1,0
51,4679,1,1,1,2,49,8050,35,"Ombrelle pixie bleue",0,"Ombrelles pixies bleues",0,1,1,1,0
52,4735,9,0,2,0,43,8051,302,"Sac à dos Señor Loutre",0,"Sacs à dos Señor Loutre",0,0,1,0,0
53,4816,1,1,1,2,50,8052,36,"Ombrelle corvosienne",0,"Ombrelles corvosiennes",0,1,1,1,0
54,4817,1,1,1,2,51,8053,37,"Ombrelle spriggan",0,"Ombrelles spriggan",0,1,1,1,0
55,0,0,0,0,0,0,0,0,"",0,"",0,0,0,0,0
56,0,0,0,0,0,0,0,0,"",0,"",0,0,0,0,0
57,0,0,0,0,0,0,0,0,"",0,"",0,0,0,0,0
58,0,0,0,0,0,0,0,0,"",0,"",0,0,0,0,0
