key,0
#,Text
offset,0
Int32,String
0,""
1,"■Objectif■<hex:02100103>Évite les obstacles et cours vers la ligne d'arrivée<hex:021D0103>!<hex:02100103><hex:02100103>■Fin de la manche■<hex:02100103>Nombre maximal de qualifiés atteint"
2,"■Objectif■<hex:02100103>Évite les obstacles et cours vers la ligne d'arrivée<hex:021D0103>!<hex:02100103><hex:02100103>■Fin de la manche■<hex:02100103>Nombre maximal de qualifiés atteint"
3,"■Objectif■<hex:02100103>Reste sur la plate-forme en évitant le souffle nasal de Typhon<hex:021D0103>!<hex:02100103><hex:02100103>■Fin de la manche■<hex:02100103>Nombre maximal d'éliminés atteint"
4,"■Objectif■<hex:02100103>Transporte 3 cristaux jusqu'aux arrivées correspondantes<hex:021D0103>!<hex:02100103><hex:02100103>■Fin de la manche■<hex:02100103>Nombre maximal de qualifiés atteint"
5,"■Objectif■<hex:02100103>Atteins la couronne au sommet avant tout le monde<hex:021D0103>!<hex:02100103><hex:02100103>■Fin de la manche■<hex:02100103>Premier joueur arrivé"
6,"Évite les obstacles et cours vers la ligne d'arrivée<hex:021D0103>!"
7,"Évite les obstacles et cours vers la ligne d'arrivée<hex:021D0103>!"
8,"Reste sur la plate-forme en évitant le souffle nasal de Typhon<hex:021D0103>!"
9,"Transporte 3 cristaux jusqu'aux arrivées correspondantes<hex:021D0103>!"
10,"Atteins la couronne au sommet avant tout le monde<hex:021D0103>!"
11,"Franchis la ligne d'arrivée<hex:021D0103>!"
12,"Franchis la ligne d'arrivée<hex:021D0103>!"
13,"Ne tombe pas<hex:021D0103>!"
14,"Transporte les cristaux<hex:021D0103>!"
15,"Atteins la couronne<hex:021D0103>!"
16,"En attente de joueurs"
17,"QUALIFIÉ(E)<hex:021D0103>!"
18,"ÉLIMINÉ(E)<hex:021D0103>!"
19,""
20,""
21,""
22,""
23,""
24,""
25,""
26,""
27,""
28,""
29,""
30,""
