key,0,1,2,3,4
#,Background,Frame,Decoration,SortKey,Name
offset,4,6,8,10,0
Int32,UInt16,UInt16,UInt16,UInt16,String
0,0,0,0,0,"Personnalisé"
1,1,1,1,2,"Basique"
2,2,3,1,3,"Moderne"
3,10,10,1,4,"Tableau ancien"
4,7,10,1,5,"Tableau saisissant"
5,3,11,8,6,"Bellissime"
6,8,1,1,1,"Éthéré"
7,7,7,1,7,"Journal de quête"
8,4,9,5,8,"Tank"
9,6,9,7,9,"Soigneur"
10,5,9,6,10,"DPS"
11,52,12,12,2050,"Paladin (standard)"
12,53,13,13,2051,"Guerrier (standard)"
13,54,14,14,2052,"Chevalier noir (standard)"
14,55,15,15,2053,"Pistosabreur (standard)"
15,56,16,16,2054,"Mage blanc (standard)"
16,57,17,17,2055,"Érudit (standard)"
17,58,18,18,2056,"Astromancien (standard)"
18,59,19,19,2057,"Sage (standard)"
19,60,20,20,2058,"Moine (standard)"
20,61,21,21,2059,"Chevalier dragon (standard)"
21,62,22,22,2060,"Ninja (standard)"
22,63,23,23,2061,"Samouraï (standard)"
23,64,24,24,2062,"Faucheur (standard)"
24,65,25,25,2065,"Barde (standard)"
25,66,26,26,2066,"Machiniste (standard)"
26,67,27,27,2067,"Danseur (standard)"
27,68,28,28,2068,"Mage noir (standard)"
28,69,29,29,2069,"Invocateur (standard)"
29,70,30,30,2070,"Mage rouge (standard)"
30,11,12,12,2150,"Paladin (dynamique)"
31,12,13,13,2151,"Guerrier (dynamique)"
32,13,14,14,2152,"Chevalier noir (dynamique)"
33,14,15,15,2153,"Pistosabreur (dynamique)"
34,15,16,16,2154,"Mage blanc (dynamique)"
35,16,17,17,2155,"Érudit (dynamique)"
36,17,18,18,2156,"Astromancien (dynamique)"
37,18,19,19,2157,"Sage (dynamique)"
38,19,20,20,2158,"Moine (dynamique)"
39,20,21,21,2159,"Chevalier dragon (dynamique)"
40,21,22,22,2160,"Ninja (dynamique)"
41,22,23,23,2161,"Samouraï (dynamique)"
42,23,24,24,2162,"Faucheur (dynamique)"
43,24,25,25,2165,"Barde (dynamique)"
44,25,26,26,2166,"Machiniste (dynamique)"
45,26,27,27,2167,"Danseur (dynamique)"
