key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,Countability,Pronoun,Article,,Name,Icon,Action,StackSize,Category,Quest,CastTime,CastTimeline,Timeline
offset,0,12,4,13,14,15,16,17,18,8,24,26,28,29,20,30,31,32
Int32,String,Int8,String,Int8,Int8,Int8,Int8,Int8,PackedBool0,String,UInt16,UInt16,UInt8,UInt8,UInt32,UInt8,UInt8,UInt8
2000000,"",0,"",0,0,1,0,0,False,"",0,0,1,1,0,0,0,0
2000001,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000002,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000003,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000004,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000005,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000006,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000007,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000008,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000009,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000010,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000011,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000012,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000013,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000014,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000015,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000016,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000017,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000018,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000019,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000020,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000021,"épingle à cheveux",0,"épingles à cheveux",0,1,1,1,0,False,"Épingle à cheveux",22623,1,1,1,0,3,0,0
2000022,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000023,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000024,"caisse à outils",0,"caisses à outils",0,0,1,1,0,False,"Caisse à outils",21002,1,1,1,65563,3,0,0
2000025,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000026,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000027,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
