key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
#,,,,,,,FailImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poor,Good,Great,Excellent,,,,
offset,74,75,76,77,72,78,64,80,81,82,68,79,83,84,85,8,20,32,44,9,21,33,45,10,22,34,46,0,12,24,36,11,23,35,47,4,16,28,40,48,52,56,60
Int32,UInt8,UInt8,UInt8,UInt8,UInt16,UInt8,UInt32,Int8,Int8,Int8,UInt32,UInt8,Int8,Int8,Int8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt32,UInt32,UInt32,UInt32,UInt8,UInt8,UInt8,UInt8,UInt32,UInt32,UInt32,UInt32,String,String,String,String
2359296,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","",""
2359297,0,30,42,0,1,0,121541,0,3,30,4076,15,0,24,0,0,1,2,3,0,1,2,40,0,1,15,20,4077,4077,4077,4077,3,1,1,1,121502,121501,121501,121501,"Lance-bombo","Tout est dans le poignet<hex:021D0103>!<hex:02100103><hex:02100103>1-2 points = 20 PGS<hex:02100103>3-4 points = 30 PGS<hex:02100103>5 points et + = 50 PGS","","Score"
2359298,0,15,60,1,1,3,121541,0,1,32,4070,30,0,20,0,0,1,2,3,0,1,2,40,0,10,15,20,0,0,0,0,3,1,1,1,121522,121521,121521,121521,"Attrap'Mog","Attrapez-les tous<hex:021D0103>!<hex:02100103><hex:02100103>Grosse prise = 10 PGS<hex:02100103>Petite prise = 25 PGS","",""
2359299,0,15,60,1,1,2,121541,0,1,17,4074,21,0,25,0,0,1,2,3,0,1,2,40,0,10,15,20,4075,4075,4075,4075,3,5,5,1,121514,121513,121512,121511,"Catapultour de Cristal","Allez-y de toutes vos forces<hex:021D0103>!<hex:02100103><hex:02100103>Bien = 10 PGS<hex:02100103>Très bien = 15 PGS<hex:02100103>Excellent = 25 PGS","",""
2359300,0,15,40,1,1,1,121541,0,1,30,4072,11,0,25,0,0,1,2,3,0,1,2,40,0,10,15,20,4073,4073,4073,4073,3,5,5,1,121534,121533,121532,121531,"Gilg-a-Moche","Amochez sa grosse caboche<hex:021D0103>!<hex:02100103><hex:02100103>Bien = 10 PGS<hex:02100103>Très bien = 15 PGS<hex:02100103>Excellent = 25 PGS","",""
2359301,1,60,30,1,1,4,121541,0,2,32,4670,17,0,25,0,15,8,2,0,100,14,7,1,0,1,4,10,4671,4671,4671,4671,4,8,6,2,121584,121583,121582,121581,"Bonne pioche<hex:021D0103>!","Choisissez le bon moment pour donner un coup de pioche<hex:021D0103>!<hex:02100103><hex:02100103>Le nombre de tentatives varie en fonction du niveau de la jauge.<hex:02100103> Titan<hex:021D0103>: 4<hex:02100103> Morbol<hex:021D0103>: 5<hex:02100103> Pampa<hex:021D0103>: 6<hex:02100103><hex:02100103>Moins vous avez de tentatives, plus de PGS vous obtiendrez<hex:021D0103>!","Donnez un coup de pioche pour creuser<hex:021D0103>!<hex:02100103><hex:02100103>Utilisez votre instinct pour trouver le bon filon<hex:021D0103>!<hex:02100103><hex:02100103>Réduisez la jauge à zéro pour gagner<hex:021D0103>!","PGS obtenus"
2359302,1,60,30,10,1,5,121541,-2,2,12,4668,17,0,25,0,21,11,3,0,100,20,10,2,0,1,4,10,4669,4669,4669,4669,4,8,6,2,121594,121593,121592,121591,"Oh, la hache<hex:021D0103>!","Choisissez le bon moment pour donner un coup de hache<hex:021D0103>!<hex:02100103><hex:02100103>La vitesse varie en fonction du niveau de la jauge.<hex:02100103> Titan<hex:021D0103>: très rapide<hex:02100103> Morbol<hex:021D0103>: rapide<hex:02100103> Pampa<hex:021D0103>: lent<hex:02100103><hex:02100103>Plus ça va vite, plus vous obtiendrez de PGS<hex:021D0103>!","Donnez un coup de hache pour couper<hex:021D0103>!<hex:02100103><hex:02100103>Utilisez votre instinct pour trouver le bon endroit<hex:021D0103>!<hex:02100103><hex:02100103>Réduisez la jauge à zéro pour gagner<hex:021D0103>!","PGS obtenus"
