key,0,1,2,3,4,5,6,7,8,9,10,11
#,PopRange,TerritoryType,ConditionSuccessEvent,ConditionFailEvent,ConfirmEvent,WarpCondition,WarpLogic,StartCutscene,EndCutscene,CanSkipCutscene,Name,Question
offset,8,24,12,16,20,26,28,30,32,34,0,4
Int32,UInt32,UInt16,UInt32,UInt32,UInt32,UInt16,UInt16,UInt16,UInt16,PackedBool0,String,String
131072,0,0,0,0,0,1,1,0,0,False,"",""
131073,2040811,148,0,0,0,2,2,0,0,False,"",""
131074,3884000,204,590352,590353,0,3,1,0,0,False,"","Entrer dans la salle de commandement du Carquois<hex:021D0103>?"
131075,3884182,132,0,0,0,1,1,0,0,False,"","Sortir de la salle de commandement du Carquois<hex:021D0103>?"
131076,3878860,133,0,0,0,1,1,0,0,False,"","Sortir de la Chaire du Lotus<hex:021D0103>?"
131077,1381039,152,590354,590355,0,4,1,0,0,False,"Aller à la jetée du Bouquet","Embarquer vers la jetée du Bouquet<hex:021D0103>?"
131078,1381038,133,590356,590259,0,4,1,0,0,False,"","Embarquer vers Vieille Gridania<hex:021D0103>?"
131079,4124796,177,0,0,0,5,3,0,0,False,"",""
131080,1359058,179,0,0,0,5,4,0,0,False,"",""
131081,4124801,178,0,0,0,5,5,0,0,False,"",""
131082,4125264,128,0,0,0,1,1,0,0,False,"","Voulez-vous sortir<hex:021D0103>?"
131083,2232680,132,0,0,0,1,1,0,0,False,"","Voulez-vous sortir<hex:021D0103>?"
131084,4125288,130,0,0,0,1,1,0,0,False,"","Voulez-vous sortir<hex:021D0103>?"
131085,4107979,131,0,0,0,1,1,0,0,False,"","Sortir du Hall d'argent<hex:021D0103>?"
131086,4143657,140,590441,590620,590448,6,1,0,0,False,"","Embarquer pour la crique du Croissant<hex:021D0103>?<hex:02100103>Coût<hex:021D0103>: 40 gils"
131087,4143677,140,590442,590621,590449,6,1,0,0,False,"","Embarquer pour le Bazar argenté<hex:021D0103>?<hex:02100103>Coût<hex:021D0103>: 40 gils"
131088,4107477,212,0,590450,0,7,1,0,0,False,"","Entrer dans le Refuge des sables<hex:021D0103>?"
131089,4132388,140,0,0,0,1,1,0,0,False,"","Sortir du Refuge des sables<hex:021D0103>?"
131090,4148347,212,0,590564,0,21,1,0,0,False,"","Entrer dans le salon de l'Aube<hex:021D0103>?"
131091,4148350,212,0,0,0,1,1,0,0,False,"","Sortir du salon de l'Aube<hex:021D0103>?"
131092,4158063,128,0,0,0,1,1,0,0,False,"Aérodrome de Limsa Lominsa (3e étage)","Aller à l'aérodrome de Limsa Lominsa<hex:021D0103>?"
131093,4158069,128,0,0,0,1,1,0,0,False,"Guilde des aventuriers (1er étage)","Aller à la guilde des aventuriers<hex:021D0103>?"
131094,4161445,129,0,0,0,1,1,0,0,False,"Bastingage (RDC)","Aller au Bastingage<hex:021D0103>?"
131095,4164411,130,0,0,0,1,1,0,0,False,"Aérodrome d'Ul'dah (3e étage)","Aller à l'aérodrome d'Ul'dah<hex:021D0103>?"
131096,4164414,131,0,0,0,1,1,0,0,False,"District politique (1er étage)","Aller au district politique<hex:021D0103>?"
131097,4164413,130,0,0,0,1,1,0,0,False,"Marchés de l'allée du Rubis (RDC)","Aller aux marchés de l'allée du Rubis<hex:021D0103>?"
131098,4087066,210,590451,590452,0,8,1,0,0,False,"","Entrer dans le Hall d'argent<hex:021D0103>?"
131099,4165046,146,590611,0,0,1,1,0,0,False,"","Entrer dans la zone<hex:021D0103>?"
131100,4165037,145,590610,0,0,1,1,0,0,False,"","Quitter la zone<hex:021D0103>?"
131101,4103382,132,0,590530,590453,9,1,227,232,True,"Aller à Gridania","Embarquer pour Gridania<hex:021D0103>?<hex:02100103>Coût<hex:021D0103>: 120 gils"
131102,4103399,128,0,590530,590453,9,1,227,230,True,"Aller à Limsa Lominsa","Embarquer pour Limsa Lominsa<hex:021D0103>?<hex:02100103>Coût<hex:021D0103>: 120 gils"
131103,4103339,130,0,589916,590454,9,1,231,228,True,"Aller à Ul'dah","Embarquer pour Ul'dah<hex:021D0103>?<hex:02100103>Coût<hex:021D0103>: 120 gils"
131104,4103399,128,0,589916,590454,9,1,231,230,True,"Aller à Limsa Lominsa","Embarquer pour Limsa Lominsa<hex:021D0103>?<hex:02100103>Coût<hex:021D0103>: 120 gils"
131105,4103339,130,0,590531,590455,9,1,229,228,True,"Aller à Ul'dah","Embarquer pour Ul'dah<hex:021D0103>?<hex:02100103>Coût<hex:021D0103>: 120 gils"
131106,4103382,132,0,590531,590455,9,1,229,232,True,"Aller à Gridania","Embarquer pour Gridania<hex:021D0103>?<hex:02100103>Coût<hex:021D0103>: 120 gils"
131107,4165398,129,0,591076,590456,10,1,235,234,True,"","Aller à Limsa Lominsa<hex:021D0103>?<hex:02100103>Coût<hex:021D0103>: 80 gils"
131108,4165376,140,0,591077,590457,10,1,233,236,True,"","Aller à la baie des Vêpres<hex:021D0103>?<hex:02100103>Coût<hex:021D0103>: 80 gils"
131109,4165794,138,590514,590515,590622,11,1,0,0,False,"Aller à Port-aux-Ales","Aller à Port-aux-Ales<hex:021D0103>?<hex:02100103>Coût<hex:021D0103>: 40 gils"
131110,4165749,129,590516,590517,590623,11,1,0,0,False,"Aller à Limsa Lominsa","Aller à Limsa Lominsa<hex:021D0103>?<hex:02100103>Coût<hex:021D0103>: 40 gils"
131111,4165755,137,590518,590519,590624,12,1,0,0,False,"Aller à Costa del Sol","Aller à Costa del Sol<hex:021D0103>?<hex:02100103>Coût<hex:021D0103>: 40 gils"
131112,4165749,129,590520,590521,590625,12,1,0,0,False,"Aller à Limsa Lominsa","Aller à Limsa Lominsa<hex:021D0103>?<hex:02100103>Coût<hex:021D0103>: 40 gils"
131113,4165801,139,590510,0,590511,13,1,0,0,False,"Aller au comptoir de Jijiroon","Aller au comptoir de Jijiroon<hex:021D0103>?<hex:02100103>Coût<hex:021D0103>: 40 gils"
131114,4165797,139,590512,0,590513,13,1,0,0,False,"Aller au comptoir de Memeroon","Aller au comptoir de Memeroon<hex:021D0103>?<hex:02100103>Coût<hex:021D0103>: 40 gils"
131115,4165794,138,590522,590626,590628,14,1,0,0,False,"Aller à Port-aux-Ales","Aller à Port-aux-Ales<hex:021D0103>?<hex:02100103>Coût<hex:021D0103>: 40 gils"
131116,4165877,135,590523,590627,590629,14,1,0,0,False,"Aller au quai de la Torche","Aller au quai de la Torche<hex:021D0103>?<hex:02100103>Coût<hex:021D0103>: 40 gils"
131117,1317627,148,590524,590525,0,15,1,0,0,False,"Aller au-delà de la porte du Loup blanc","Sortir par la porte du Loup blanc<hex:021D0103>?"
131118,1317561,132,590529,590526,0,15,1,0,0,False,"","Entrer dans Gridania<hex:021D0103>?"
131119,4165759,137,590527,0,590630,16,1,0,0,False,"Aller à la ravine des Cueillepluies","Aller à la ravine des Cueillepluies<hex:021D0103>?<hex:02100103>Coût<hex:021D0103>: 40 gils"
131120,4165758,137,590528,0,590631,16,1,0,0,False,"Aller à la Chute cachée","Aller à la Chute cachée<hex:021D0103>?<hex:02100103>Coût<hex:021D0103>: 40 gils"
131121,3877982,205,590535,590536,0,19,1,0,0,False,"Aller à la Chaire du Lotus","Aller à la Chaire du Lotus<hex:021D0103>?"
131122,4146949,198,590563,0,0,20,1,0,0,False,"Aller au salon de l'Amiral","Aller au salon de l'Amiral<hex:021D0103>?"
131123,4169071,129,0,0,0,1,1,0,0,False,"","Sortir du salon de l'Amiral<hex:021D0103>?"
131124,4190590,134,0,0,0,2,2,0,0,False,"",""
131125,4189532,141,0,0,0,2,2,0,0,False,"",""
131126,4165939,146,590603,0,0,1,1,0,0,False,"","Aller au Malm du Minotaure<hex:021D0103>?"
131127,4165935,146,590604,0,0,1,1,0,0,False,"","Aller à la Thébaïde de Nald<hex:021D0103>?"
131128,4103339,130,590607,0,0,1,1,0,0,False,"","Retourner à la salle d'attente<hex:021D0103>?"
131129,4103382,132,590608,0,0,1,1,0,0,False,"","Retourner à la salle d'attente<hex:021D0103>?"
131130,4103399,128,590609,0,0,1,1,0,0,False,"","Retourner à la salle d'attente<hex:021D0103>?"
131131,4264415,250,590632,0,0,1,1,0,0,False,"Aller à l'Antre des loups","Aller à l'Antre des loups<hex:021D0103>?"
131132,4264426,135,590633,0,0,1,1,0,0,False,"Aller au chantier naval de Moraby","Aller au chantier naval de Moraby<hex:021D0103>?"
131133,4165794,138,590634,0,0,1,1,0,0,False,"Aller à Port-aux-Ales","Aller à Port-aux-Ales<hex:021D0103>?"
131134,4264587,138,590635,590636,590637,22,1,0,0,False,"Aller aux îles d'Ombra","Aller aux îles d'Ombra<hex:021D0103>?<hex:02100103>Coût<hex:021D0103>: 40 gils"
131135,4165794,138,0,0,0,1,1,0,0,False,"Aller à Port-aux-Ales","Aller à Port-aux-Ales<hex:021D0103>?"
131136,4264605,138,590638,590639,590640,23,1,0,0,False,"Aller au Nid de serpents","Aller au Nid de serpents<hex:021D0103>?<hex:02100103>Coût<hex:021D0103>: 40 gils"
131137,4321669,156,0,0,0,1,1,0,0,False,"","Quitter l'atelier de Cid<hex:021D0103>?"
131138,4102803,132,590843,0,0,1,1,0,0,False,"","Aller à Gridania<hex:021D0103>?"
131139,4332112,137,0,0,0,1,1,0,0,False,"","Quitter le Labyrinthe de Bahamut<hex:021D0103>?"
131140,4332121,147,0,0,0,1,1,0,390,False,"","Quitter le Labyrinthe de Bahamut<hex:021D0103>?"
131141,4331241,247,0,0,0,1,1,389,0,False,"","Activer l'ascenseur<hex:021D0103>?"
131142,4498658,351,0,0,0,1,1,0,0,False,"","Entrer dans le salon de l'Aube<hex:021D0103>?"
131143,4498656,351,0,0,0,1,1,0,0,False,"","Sortir du salon de l'Aube<hex:021D0103>?"
131144,4498659,351,0,0,0,1,1,0,0,False,"","Entrer dans le Refuge des roches<hex:021D0103>?"
131145,4498857,156,0,0,0,1,1,0,0,False,"","Sortir du Refuge des roches<hex:021D0103>?"
131146,4506602,156,0,0,0,1,1,0,0,False,"","Accéder aux Huit Sentinelles<hex:021D0103>?"
131147,4506605,156,0,0,0,1,1,0,0,False,"","Quitter Les Huit Sentinelles<hex:021D0103>?"
131148,0,0,0,0,0,1,6,0,0,False,"","Entrer dans la maison<hex:021D0103>?"
131149,0,0,0,0,0,1,7,0,0,False,"","Sortir de la maison<hex:021D0103>?"
131150,4549235,340,591149,0,0,1,1,0,0,False,"",""
131151,4549391,148,591150,0,0,1,1,0,0,False,"",""
131152,4618997,180,0,0,0,1,1,0,0,False,"","Sortir du laboratoire d'alchimie du 13e ordre<hex:021D0103>?"
131153,4629135,138,0,0,0,1,1,0,0,False,"","Retourner à la Couvée de Novv<hex:021D0103>?"
131154,4629135,138,0,0,0,1,1,0,0,False,"","Retourner à la Couvée de Novv<hex:021D0103>?"
131155,4629135,138,0,0,0,1,1,0,0,False,"","Retourner à la Couvée de Novv<hex:021D0103>?"
131156,4629135,138,0,0,0,1,1,0,0,False,"","Retourner à la Couvée de Novv<hex:021D0103>?"
131157,4629135,138,0,0,0,1,1,0,0,False,"","Retourner à la Couvée de Novv<hex:021D0103>?"
131158,4549235,340,591254,591260,0,24,1,0,0,False,"Aller à Lavandière",""
131159,1381038,133,591255,591261,0,24,1,0,0,False,"",""
131160,4664433,339,591256,591262,0,25,1,0,0,False,"Aller à Brumée",""
131161,4165749,129,591257,591263,0,25,1,0,0,False,"",""
131162,4656744,341,591258,591264,0,26,1,0,0,False,"",""
131163,4660251,131,591259,591265,0,26,1,0,0,False,"",""
131164,4678209,154,0,0,0,1,1,0,0,False,"","Sortir du sous-sol éorzéen<hex:021D0103>?"
131165,4332121,147,0,0,0,1,1,0,0,False,"","Sortir des Méandres de Bahamut<hex:021D0103>?"
