key,0
#,Text
offset,0
Int32,String
0,""
1,"Montagnes d'Abalathia franchies. Mettons le cap vers “<hex:02281DFF18>AirshipExplorationPoint<hex:E8020103>”."
2,"“<hex:022B23FF21><hex:02281DFF18>AirshipExplorationPoint<hex:E8020103><hex:03>” atteint. Commençons exploration préliminaire."
3,"“<hex:022B23FF21><hex:02281DFF18>AirshipExplorationPoint<hex:E8020103><hex:03>” atteint. Commençons exploration."
4,"Conditions de vol idéales... <hex:022821FF1C>AirshipExplorationParamType<hex:E8030103> de <hex:021A020203><hex:022903EA0203><hex:021A020103> suffisante."
5,"Subissons vents violents... <hex:022821FF1C>AirshipExplorationParamType<hex:E8030103> de <hex:021A020203><hex:022903EA0203><hex:021A020103> suffisante, mais influence sur les opérations à craindre."
6,"Subissons violentes turbulences... <hex:022821FF1C>AirshipExplorationParamType<hex:E8030103> de <hex:021A020203><hex:022903EA0203><hex:021A020103> suffisante, mais conduite des opérations très difficile."
7,"Aucune turbulence détectée... <hex:022821FF1C>AirshipExplorationParamType<hex:E8030103> de <hex:021A020203><hex:022903EA0203><hex:021A020103> normale."
8,"Subissons vents violents... <hex:022821FF1C>AirshipExplorationParamType<hex:E8030103> de <hex:021A020203><hex:022903EA0203><hex:021A020103> normale, mais conduite des opérations très difficile."
9,"L'aéronef connaît une perte de <hex:022F27FF25022821FF1C416972736869704578706C6F726174696F6E506172616D54797065E803010303>. Poursuivons la conduite des opérations autant que possible."
10,"<hex:022B12FF10><hex:02330CFF05>Item<hex:0DE802030203><hex:03> de bonne qualité découvert<hex:020815FF0E><hex:02280AFF05>Item<hex:E8020703><hex:FF02>e<hex:FF01><hex:03>s. Commençons extraction sélective."
11,"<hex:022B12FF10><hex:02330CFF05>Item<hex:0DE802030203><hex:03> de bonne qualité découvert<hex:020815FF0E><hex:02280AFF05>Item<hex:E8020703><hex:FF02>e<hex:FF01><hex:03>s. Commençons extraction."
12,"<hex:022B12FF10><hex:02330CFF05>Item<hex:0DE802030203><hex:03> découvert<hex:020815FF0E><hex:02280AFF05>Item<hex:E8020703><hex:FF02>e<hex:FF01><hex:03>s. Commençons extraction."
13,"<hex:022B12FF10><hex:02330CFF05>Item<hex:0DE802030203><hex:03> découvert<hex:020815FF0E><hex:02280AFF05>Item<hex:E8020703><hex:FF02>e<hex:FF01><hex:03>s. Commençons extraction."
14,"Mise en œuvre optimale de la <hex:022F27FF25022821FF1C416972736869704578706C6F726174696F6E506172616D54797065E803010303> de l'appareil. Résultat d'extraction excellent."
15,"Bonne mise en œuvre de la <hex:022F27FF25022821FF1C416972736869704578706C6F726174696F6E506172616D54797065E803010303> de l'appareil. Résultat d'extraction plus que satisfaisant."
16,"Mise en œuvre normale de la <hex:022F27FF25022821FF1C416972736869704578706C6F726174696F6E506172616D54797065E803010303> de l'appareil. Résultat d'extraction satisfaisant."
17,"Mise en œuvre limitée de la <hex:022F27FF25022821FF1C416972736869704578706C6F726174696F6E506172616D54797065E803010303> de l'appareil. Résultat d'extraction à peine satisfaisant."
18,"Mise en œuvre très limitée de la <hex:022F27FF25022821FF1C416972736869704578706C6F726174696F6E506172616D54797065E803010303> de l'appareil. Résultat d'extraction insatisfaisant."
19,"Mise en œuvre médiocre de la <hex:022F27FF25022821FF1C416972736869704578706C6F726174696F6E506172616D54797065E803010303> de l'appareil. Résultat d'extraction très insatisfaisant."
20,"<hex:024804F201F403><hex:024904F201F503><hex:020834E4E80302FF16><hex:022B12FF10><hex:02330CFF05>Item<hex:02E802020203><hex:03><hex:FF17><hex:022003E80303> <hex:02330CFF05>Item<hex:0DE802030203><hex:03> obtenu<hex:020815FF0E><hex:02280AFF05>Item<hex:E8020703><hex:FF02>e<hex:FF01><hex:03><hex:02080AE4E80302FF01><hex:FF02>s<hex:03><hex:021D0103>!<hex:0249020103><hex:0248020103>"
21,"Autres points d'intérêt détectés... Poursuivons exploration."
22,"Autres points d'intérêt détectés... Mais l'état de l'aéronef ne permettant pas d'explorer davantage, poursuivons notre chemin."
23,"Autres points d'intérêt détectés... Mais signal perdu."
24,"Aucune autre point d'intérêt détecté."
25,"Exploration de “<hex:02281DFF18>AirshipExplorationPoint<hex:E8020103>” terminée<hex:021D0103>! Performance ex<hex:02160103>cep<hex:02160103>tion<hex:02160103>nelle de <hex:021A020203><hex:022903EA0303><hex:021A020103><hex:021D0103>!"
26,"Exploration de “<hex:02281DFF18>AirshipExplorationPoint<hex:E8020103>” terminée<hex:021D0103>! Bonne performance de <hex:021A020203><hex:022903EA0303><hex:021A020103><hex:021D0103>!"
27,"Exploration de “<hex:02281DFF18>AirshipExplorationPoint<hex:E8020103>” terminée<hex:021D0103>! Performance satisfaisante de <hex:021A020203><hex:022903EA0303><hex:021A020103><hex:021D0103>!"
28,"Exploration de “<hex:02281DFF18>AirshipExplorationPoint<hex:E8020103>” terminée<hex:021D0103>! Performance à peine satisfaisante de <hex:021A020203><hex:022903EA0303><hex:021A020103><hex:021D0103>!"
29,"Exploration de “<hex:02281DFF18>AirshipExplorationPoint<hex:E8020103>” terminée<hex:021D0103>! Performance décevante de <hex:021A020203><hex:022903EA0303><hex:021A020103><hex:021D0103>!"
30,"<hex:024804F201F603><hex:024904F201F703><hex:021A020203><hex:022B09FF07><hex:022903EA0203><hex:03><hex:021A020103> gagne <hex:022003E80303> <hex:020813E4E80401FF01><hex:FF0B>(+<hex:022003E80403>%)<hex:03> points d'expérience.<hex:0249020103><hex:0248020103>"
31,"Mettons le cap vers la prochaine destination<hex:021D0103>: <hex:02281DFF18>AirshipExplorationPoint<hex:E8020103>."
32,"Exploration de toutes les destinations terminée. Retournons à l'atelier."
33,"<hex:024804F201F603><hex:024904F201F703>Nouveau lieu d'exploration découvert<hex:021D0103>: <hex:022B23FF21><hex:02281DFF18>AirshipExplorationPoint<hex:E8020103><hex:03>.<hex:0249020103><hex:0248020103>"
34,"<hex:024804F201F603><hex:024904F201F703>Enregistrement d'un aéronef sup<hex:02160103>plé<hex:02160103>men<hex:02160103>tai<hex:02160103>re autorisé<hex:021D0103>!<hex:0249020103><hex:0248020103>"
