key,0
#,Text
offset,0
Int32,String
0,""
1," Taux de récolte +<hex:022003E80203>%"
2," Taux de récolte x <hex:022003E80203>"
3," <hex:02082AE803FF0C>récoltable<hex:FF19>Taux de récolte <hex:022003E80203>%<hex:03>"
4," Objets de haut niveau +<hex:022003E80203>%"
5," Objets de haut niveau x <hex:022003E80203>"
6," Objets de haut niveau <hex:022003E80203>%"
7," Objets de niveau égal ou inférieur +<hex:022003E80203>%"
8," Objets de niveau égal ou inférieur x <hex:022003E80203>"
9," Objets de niveau égal ou inférieur <hex:022003E80203>%"
10,""
11,""
12,""
13,""
14," Quantité + <hex:022003E80203>"
15," Quantité x <hex:022003E80203>"
16," Quantité <hex:022003E80203>"
17," Quantité + <hex:022003E80203> (↑)"
18," Nombre de tentatives + <hex:022003E80203>"
19," Nombre de tentatives + <hex:022003E80203> (↑)"
20," Découverte d'objets cachés x <hex:022003E80203>%"
21," <hex:02082BE803FF11> Collectionnable<hex:FF15> Non collectionnable<hex:03>"
22," Chances de récolte supp. +<hex:022003E80203>%"
23," Chances de récolte supp. +<hex:022003E80203>% (↑)"
24," Sublimation +<hex:022003E80203>% quand val. collection max."
25," Sublimation +<hex:022003E80303>% quand val. collection max. (↑)"
26," Valeur de collection + <hex:022003E80203> (↑)"
27," Chances de Sélection méthodique +<hex:022003E80203>% (↑)"
28," Bonus d'Inspection rigoureuse +<hex:022003E80203>% (↑)"
29," Bonus d'Intuition +<hex:022003E80203>% (↑)"
30," Valeur de collection + <hex:022003E80203>"
31," Chances de Sélection méthodique +<hex:022003E80203>%"
32," Bonus d'Inspection rigoureuse +<hex:022003E80203>% (↑)"
33," Bonus d'Intuition +<hex:022003E80203>%"
