key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Description,Name,Icon,LevelItem,Rarity,FilterGroup,AdditionalData,ItemUICategory,ItemSearchCategory,EquipSlotCategory,ItemSortCategory,,StackSize,IsUnique,IsUntradable,IsIndisposable,Lot,PriceMid,PriceLow,CanBeHq,DyeCount,IsCrestWorthy,ItemAction,CastTimeSeconds,Cooldowns,ClassJobRepair,ItemRepair,ItemGlamour,Desynth,IsCollectable,AlwaysCollectable,AetherialReduce,LevelEquip,RequiredPvpRank,EquipRestriction,ClassJobCategory,GrandCompany,ItemSeries,BaseParamModifier,ModelMain,ModelSub,ClassJobUse,,DamagePhys,DamageMag,Delayms,,BlockRate,Block,DefensePhys,DefenseMag,BaseParam[0],BaseParamValue[0],BaseParam[1],BaseParamValue[1],BaseParam[2],BaseParamValue[2],BaseParam[3],BaseParamValue[3],BaseParam[4],BaseParamValue[4],BaseParam[5],BaseParamValue[5],ItemSpecialBonus,ItemSpecialBonusParam,BaseParamSpecial[0],BaseParamValueSpecial[0],BaseParamSpecial[1],BaseParamValueSpecial[1],BaseParamSpecial[2],BaseParamValueSpecial[2],BaseParamSpecial[3],BaseParamValueSpecial[3],BaseParamSpecial[4],BaseParamValueSpecial[4],BaseParamSpecial[5],BaseParamValueSpecial[5],MaterializeType,MateriaSlotCount,IsAdvancedMeldingPermitted,IsPvP,SubStatCategory,IsGlamorous
offset,0,16,4,17,18,19,20,21,8,12,136,138,150,151,112,152,153,154,155,140,116,159,159,159,159,120,124,159,156,159,142,157,144,158,128,132,146,159,159,148,78,79,80,81,82,83,84,24,32,85,86,40,42,44,87,46,48,50,52,88,54,89,56,90,58,91,60,92,62,93,64,94,95,96,66,97,68,98,70,99,72,100,74,101,76,102,103,105,105,104,105
Int32,String,Int8,String,Int8,Int8,Int8,Int8,Int8,String,String,UInt16,UInt16,UInt8,UInt8,UInt32,UInt8,UInt8,UInt8,UInt8,UInt16,UInt32,PackedBool0,PackedBool1,PackedBool2,PackedBool3,UInt32,UInt32,PackedBool4,UInt8,PackedBool5,UInt16,UInt8,UInt16,UInt8,Int32,Int32,UInt16,PackedBool6,PackedBool7,UInt16,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt64,UInt64,UInt8,UInt8,UInt16,UInt16,UInt16,UInt8,UInt16,UInt16,UInt16,UInt16,UInt8,Int16,UInt8,Int16,UInt8,Int16,UInt8,Int16,UInt8,Int16,UInt8,Int16,UInt8,UInt8,UInt8,Int16,UInt8,Int16,UInt8,Int16,UInt8,Int16,UInt8,Int16,UInt8,Int16,UInt8,UInt8,PackedBool0,PackedBool1,UInt8,PackedBool2
0,"",0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,2,0,1,False,False,False,False,0,0,False,0,False,0,2,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
1,"gil",0,"gils",0,0,1,0,0,"La monnaie couramment utilisée en Éorzéa.","Gil",65002,1,1,16,0,63,0,0,3,0,999999999,False,False,False,False,0,0,False,0,False,0,2,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
2,"éclat de feu",0,"éclats de feu",0,1,1,0,0,"Un éclat provenant d'un cristal de feu.","Éclat de feu",20001,1,1,11,0,59,58,0,4,10010,9999,False,False,False,False,9,0,False,0,False,0,2,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
3,"éclat de glace",0,"éclats de glace",0,1,1,0,0,"Un éclat provenant d'un cristal de glace.","Éclat de glace",20003,1,1,11,0,59,58,0,4,10020,9999,False,False,False,False,9,0,False,0,False,0,2,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
4,"éclat de vent",0,"éclats de vent",0,1,1,0,0,"Un éclat provenant d'un cristal de vent.","Éclat de vent",20004,1,1,11,0,59,58,0,4,10030,9999,False,False,False,False,9,0,False,0,False,0,2,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
5,"éclat de terre",0,"éclats de terre",0,1,1,0,0,"Un éclat provenant d'un cristal de terre.","Éclat de terre",20006,1,1,11,0,59,58,0,4,10040,9999,False,False,False,False,9,0,False,0,False,0,2,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
6,"éclat de foudre",0,"éclats de foudre",0,1,1,0,0,"Un éclat provenant d'un cristal de foudre.","Éclat de foudre",20005,1,1,11,0,59,58,0,4,10050,9999,False,False,False,False,9,0,False,0,False,0,2,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
7,"éclat d'eau",0,"éclats d'eau",0,1,1,0,0,"Un éclat provenant d'un cristal d'eau.","Éclat d'eau",20002,1,1,11,0,59,58,0,4,10060,9999,False,False,False,False,9,0,False,0,False,0,2,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
