key,0,1,2,3
#,IsVisible,Score,Name,Description
offset,12,8,0,4
Int32,PackedBool0,Int32,String,String
0,False,0,"",""
1,True,15000,"Bleu vif","Défi réussi dans la limite du temps idéal."
2,True,5000,"Ni en retard ni en avance","Défi réussi dans la limite du temps standard."
3,True,3000,"10 nuances de bleu","Entre 2 et 10 actions différentes utilisées."
4,True,10000,"4 nuances de bleu","Entre 2 et 4 actions différentes utilisées."
5,True,20000,"Aucun bleu","Zéro dégât subi."
6,True,15000,"Même pas mal","Aucun soin utilisé."
7,True,1000,"Chutus incantatus !","Incantation ennemie interrompue."
8,True,3000,"Promeneur du dimanche","Sprint jamais utilisé."
9,True,10000,"Maîtrise du feu","Utilisation exclusive d'actions non élémentaires ou liées au feu."
10,True,10000,"Maîtrise de l'eau","Utilisation exclusive d'actions non élémentaires ou liées à l'eau."
11,True,10000,"Maîtrise de la terre","Utilisation exclusive d'actions non élémentaires ou liées à la terre."
12,True,10000,"Maîtrise du vent","Utilisation exclusive d'actions non élémentaires ou liées au vent."
13,True,10000,"Maîtrise de la glace","Utilisation exclusive d'actions non élémentaires ou liées à la glace."
14,True,10000,"Maîtrise de la foudre","Utilisation exclusive d'actions non élémentaires ou liées à la foudre."
15,True,15000,"Maîtrise des éléments","Utilisation d'un sort de chaque élément."
16,True,20000,"Maîtrise absolue","Utilisation d'un sort de chaque élément et d'une frappe de chaque type."
17,True,5000,"Tortionnaire","Plus de 6 malus infligés."
18,True,12000,"Tyran","Plus de 9 malus infligés."
19,True,15000,"Gare à la canne","Utilisation exclusive de dégâts physiques."
20,True,15000,"Mage bleu foncé","Actions de rangs 4 et 5 uniquement."
21,True,15000,"Mage bleu bleu","Actions de rangs 1 et 2 uniquement."
22,True,10000,"Quadruple face","4 actions ou plus lancées à partir du visage."
23,False,20000,"Le spécial Amajina",""
24,False,-30000,"Mascarade mesquine",""
25,False,20000,"Assaut primordial",""
26,False,50000,"Tueur de géants",""
27,False,50000,"Fan des poulpes",""
28,False,80000,"Le grand bleu",""
29,True,20000,"Octuple face","8 actions ou plus lancées à partir du visage."
30,True,10000,"Soigneur de bleus","Utilisation de Pompon soignant, Exuviation et Vent blanc."
31,False,25000,"Alexandrin",""
32,False,80000,"Bleu céruléen",""
33,False,80000,"Bleu pur",""
34,False,80000,"Bleu doré",""
