key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
#,RequiredQuests2[0],RequiredQuests2[1],RequiredQuests2[2],RequiredQuests2[3],RequiredDevGrade[0],RequiredDevGrade[1],RequiredDevGrade[2],RequiredDevGrade[3],RequiredQuests0[0],RequiredQuests0[1],RequiredQuests0[2],RequiredQuests0[3],RequiredQuests1[0],RequiredQuests1[1],RequiredQuests1[2],RequiredQuests1[3]
offset,32,33,34,35,36,37,38,39,0,4,8,12,16,20,24,28
Int32,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
